"","GW3005","GW3010","GW3014","GW3018","GW3030","GW3047","GW3065","GW3068","GW3074","GW3077","GW3078","GW3092","GW3107","GW3108","GW3119","GW3122","GW3123","GW3124","GW3125","GW3127","GW3134","GW3145","GW3217","GW3232","GW3233","GW3234","GW3236","GW3240","GW3246","GW3248","GW3250","GW3257","GW3265","GW3294","GW3314","GW3320","GW3364","GW3387","GW3389","GW3390","GW3405","GW3407","GW3409","GW3410","GW3413","GW3415","GW3420","GW3430","GW3443","GW3448","GW3479","GW3487","GW3488","GW3490","GW3491","GW3496","GW3523","GW3528","GW3543","GW3574","GW3576","GW3582","GW4082","GW4094","GW4109","GW4146","GW4147","GW4187","GW4191","GW4193","GW4194","GW4229","GW4246","GW4249","GW4253","GW4283","GW4284","GW4285","GW4286","GW4293","GW4298","GW4299","GW4301","GW4305","GW4310","GW4339","GW4340","GW4374","GW4377","GW4409","GW4420","GW4431","GW4433","GW4434","GW4436","GW4439","GW4440","GW4476","GW4507","GW5796","GW5831","GW5850","GW5854","GW5871","GW5876","GW5878","GW5888","GW5889","GW5894","GW5907","GW5910","GW5915","GW5926","GW5930","GW5936","GW5943","GW5967","GW5970","GW5973","GW5998","GW6015","GW6016","GW6018","GW6026","GW6053","GW6084","GW6114","GW6134","GW6139","GW6141","GW6169","GW6176","GW6186","GW6193","GW6197","GW6202"
"GW3005",0,0,0.00686933862595992,0,224.335900456379,224.335900456379,15.0031442810624,15.0031442810624,15.0031442810624,15.0031442810624,15.0031442810624,17.2190241991929,17.0349750106549,17.0349750106549,24.5312525915178,24.517764085593,24.517764085593,24.517764085593,24.517764085593,24.517764085593,24.517764085593,10.0311587281678,435.195016034856,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,489.955075006945,489.960541943742,432.74909185987,489.960541943742,489.960541943742,487.611573044836,487.611573044836,515.508642317417,377.686976688064,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,693.784323805666,693.784323805666,693.784323805666,658.717420429327,658.717420429327,658.717420429327,658.717420429327,658.717420429327,658.717420429327,743.765287114684,767.390397189419,749.103870278244,714.148329907453,714.148329907453,714.148329907453,306.203747260421,306.203747260421,314.44870289538,389.81455964167,389.806848231025,401.578581858472,401.5728673994,401.578581858472,401.578581858472,417.459481145337,403.653151809101,403.653151809101,403.653151809101,390.379099302327,390.379099302327,390.379099302327,390.379099302327,374.37041250405,374.37041250405,374.37041250405,374.37041250405,377.05450760284,377.05450760284,377.05450760284,377.05450760284,371.833844161532,371.853260678346,354.770319214579,351.973773815413,351.973773815413,351.979049214253,351.979049214253,351.979049214253,351.979049214253,351.979049214253,340.721726804903,334.430800943534,663.667442028092,696.551575687993,701.790065806698,679.404774326966,687.616690709767,693.814895371851,693.822049935735,693.822049935735,693.822049935735,693.822049935735,693.822049935735,693.822049935735,698.600119756179,698.600119756179,698.600119756179,698.603418011371,666.901896431627,710.772318787014,710.772318787014,710.772318787014,697.419662520706,414.696416475627,414.693166520858,414.696416475627,414.696416475627,400.610500553097,400.602222936348,242.529827282425,245.070178104618,255.150920994669,255.150920994669,251.635824325328,251.635824325328,693.948814474925,700.938910439347,700.938910439347,711.78001325813
"GW3010",0,0,0.00686933862595992,0,224.335900456379,224.335900456379,15.0031442810624,15.0031442810624,15.0031442810624,15.0031442810624,15.0031442810624,17.2190241991929,17.0349750106549,17.0349750106549,24.5312525915178,24.517764085593,24.517764085593,24.517764085593,24.517764085593,24.517764085593,24.517764085593,10.0311587281678,435.195016034856,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,489.955075006945,489.960541943742,432.74909185987,489.960541943742,489.960541943742,487.611573044836,487.611573044836,515.508642317417,377.686976688064,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,693.784323805666,693.784323805666,693.784323805666,658.717420429327,658.717420429327,658.717420429327,658.717420429327,658.717420429327,658.717420429327,743.765287114684,767.390397189419,749.103870278244,714.148329907453,714.148329907453,714.148329907453,306.203747260421,306.203747260421,314.44870289538,389.81455964167,389.806848231025,401.578581858472,401.5728673994,401.578581858472,401.578581858472,417.459481145337,403.653151809101,403.653151809101,403.653151809101,390.379099302327,390.379099302327,390.379099302327,390.379099302327,374.37041250405,374.37041250405,374.37041250405,374.37041250405,377.05450760284,377.05450760284,377.05450760284,377.05450760284,371.833844161532,371.853260678346,354.770319214579,351.973773815413,351.973773815413,351.979049214253,351.979049214253,351.979049214253,351.979049214253,351.979049214253,340.721726804903,334.430800943534,663.667442028092,696.551575687993,701.790065806698,679.404774326966,687.616690709767,693.814895371851,693.822049935735,693.822049935735,693.822049935735,693.822049935735,693.822049935735,693.822049935735,698.600119756179,698.600119756179,698.600119756179,698.603418011371,666.901896431627,710.772318787014,710.772318787014,710.772318787014,697.419662520706,414.696416475627,414.693166520858,414.696416475627,414.696416475627,400.610500553097,400.602222936348,242.529827282425,245.070178104618,255.150920994669,255.150920994669,251.635824325328,251.635824325328,693.948814474925,700.938910439347,700.938910439347,711.78001325813
"GW3014",0.00686933862595992,0.00686933862595992,0,0.00686933862595992,224.342120820814,224.342120820814,15.0002523747821,15.0002523747821,15.0002523747821,15.0002523747821,15.0002523747821,17.215790624795,17.031503597108,17.031503597108,24.5245879315329,24.5110995064193,24.5110995064193,24.5110995064193,24.5110995064193,24.5110995064193,24.5110995064193,10.0245823869329,435.190953634391,515.504589819619,515.504589819619,515.504589819619,515.504589819619,515.504589819619,515.504589819619,515.504589819619,515.504589819619,489.950996208212,489.956463113697,432.744996890869,489.956463113697,489.956463113697,487.607445832423,487.607445832423,515.504589819619,377.682798693469,515.504589819619,515.504589819619,515.504589819619,515.504589819619,515.504589819619,515.504589819619,515.504589819619,693.7802917239,693.7802917239,693.7802917239,658.713394064575,658.713394064575,658.713394064575,658.713394064575,658.713394064575,658.713394064575,743.761423359912,767.386488419085,749.099874809787,714.144294194877,714.144294194877,714.144294194877,306.208488549724,306.208488549724,314.453513193774,389.819058550586,389.811347188243,401.583272318799,401.577557704876,401.583272318799,401.583272318799,417.463881812364,403.657503044079,403.657503044079,403.657503044079,390.383437898677,390.383437898677,390.383437898677,390.383437898677,374.374725099569,374.374725099569,374.374725099569,374.374725099569,377.058747772021,377.058747772021,377.058747772021,377.058747772021,371.837860336018,371.857276783828,354.774326453781,351.977478974538,351.977478974538,351.982754427992,351.982754427992,351.982754427992,351.982754427992,351.982754427992,340.725257434713,334.434412981545,663.671615607761,696.555388733405,701.793848722918,679.40883948863,687.620813464249,693.818981722083,693.826136284153,693.826136284153,693.826136284153,693.826136284153,693.826136284153,693.826136284153,698.604115965152,698.604115965152,698.604115965152,698.607414248312,666.906118431984,710.776481090991,710.776481090991,710.776481090991,697.423886780207,414.70017229549,414.696922409014,414.70017229549,414.70017229549,400.614128820999,400.605851272659,242.534117012564,245.074455290713,255.155010748491,255.155010748491,251.640062995981,251.640062995981,693.952574515575,700.942671898106,700.942671898106,711.783804038548
"GW3018",0,0,0.00686933862595992,0,224.335900456379,224.335900456379,15.0031442810624,15.0031442810624,15.0031442810624,15.0031442810624,15.0031442810624,17.2190241991929,17.0349750106549,17.0349750106549,24.5312525915178,24.517764085593,24.517764085593,24.517764085593,24.517764085593,24.517764085593,24.517764085593,10.0311587281678,435.195016034856,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,489.955075006945,489.960541943742,432.74909185987,489.960541943742,489.960541943742,487.611573044836,487.611573044836,515.508642317417,377.686976688064,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,515.508642317417,693.784323805666,693.784323805666,693.784323805666,658.717420429327,658.717420429327,658.717420429327,658.717420429327,658.717420429327,658.717420429327,743.765287114684,767.390397189419,749.103870278244,714.148329907453,714.148329907453,714.148329907453,306.203747260421,306.203747260421,314.44870289538,389.81455964167,389.806848231025,401.578581858472,401.5728673994,401.578581858472,401.578581858472,417.459481145337,403.653151809101,403.653151809101,403.653151809101,390.379099302327,390.379099302327,390.379099302327,390.379099302327,374.37041250405,374.37041250405,374.37041250405,374.37041250405,377.05450760284,377.05450760284,377.05450760284,377.05450760284,371.833844161532,371.853260678346,354.770319214579,351.973773815413,351.973773815413,351.979049214253,351.979049214253,351.979049214253,351.979049214253,351.979049214253,340.721726804903,334.430800943534,663.667442028092,696.551575687993,701.790065806698,679.404774326966,687.616690709767,693.814895371851,693.822049935735,693.822049935735,693.822049935735,693.822049935735,693.822049935735,693.822049935735,698.600119756179,698.600119756179,698.600119756179,698.603418011371,666.901896431627,710.772318787014,710.772318787014,710.772318787014,697.419662520706,414.696416475627,414.693166520858,414.696416475627,414.696416475627,400.610500553097,400.602222936348,242.529827282425,245.070178104618,255.150920994669,255.150920994669,251.635824325328,251.635824325328,693.948814474925,700.938910439347,700.938910439347,711.78001325813
"GW3030",224.335900456379,224.335900456379,224.342120820814,224.335900456379,0,0,236.028397411948,236.028397411948,236.028397411948,236.028397411948,236.028397411948,238.346513947222,238.565335519723,238.565335519723,248.454123352668,248.44104629016,248.44104629016,248.44104629016,248.44104629016,248.44104629016,248.44104629016,234.266045309362,641.151646875919,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,695.418580578895,695.424409397109,639.167652744786,695.424409397109,695.424409397109,693.759089790081,693.759089790081,720.312494231447,585.971987353943,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,896.658971283848,896.658971283848,896.658971283848,861.776812454026,861.776812454026,861.776812454026,861.776812454026,861.776812454026,861.776812454026,943.657533801488,967.828661348576,951.026702516532,916.930716229103,916.930716229103,916.930716229103,126.634216093213,126.634216093213,130.399393804711,206.080164210649,206.071644850789,210.538887757493,210.538547348173,210.538887757493,210.538887757493,234.328324801934,223.401712521158,223.401712521158,223.401712521158,211.94485785644,211.94485785644,211.94485785644,211.94485785644,198.762299387026,198.762299387026,198.762299387026,198.762299387026,203.600952027952,203.600952027952,203.600952027952,203.600952027952,206.938005377366,206.956928347095,192.97374563886,201.604147812745,201.604147812745,201.606420110177,201.606420110177,201.606420110177,201.606420110177,201.606420110177,199.035274737019,191.203474817449,475.994743281189,517.757756034043,523.686360701636,494.231666316648,500.728651098402,507.746790782686,507.753833235881,507.753833235881,507.753833235881,507.753833235881,507.753833235881,507.753833235881,514.813030871595,514.813030871595,514.813030871595,514.815507637197,477.879829264181,522.362150608247,522.362150608247,522.362150608247,507.680235753605,253.10280447719,253.097634650567,253.10280447719,253.10280447719,245.092848017361,245.083331724882,107.465728987995,108.991021779971,121.158381005471,121.158381005471,113.410420020112,113.410420020112,516.675798883084,523.444641807562,523.444641807562,533.213302452202
"GW3047",224.335900456379,224.335900456379,224.342120820814,224.335900456379,0,0,236.028397411948,236.028397411948,236.028397411948,236.028397411948,236.028397411948,238.346513947222,238.565335519723,238.565335519723,248.454123352668,248.44104629016,248.44104629016,248.44104629016,248.44104629016,248.44104629016,248.44104629016,234.266045309362,641.151646875919,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,695.418580578895,695.424409397109,639.167652744786,695.424409397109,695.424409397109,693.759089790081,693.759089790081,720.312494231447,585.971987353943,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,720.312494231447,896.658971283848,896.658971283848,896.658971283848,861.776812454026,861.776812454026,861.776812454026,861.776812454026,861.776812454026,861.776812454026,943.657533801488,967.828661348576,951.026702516532,916.930716229103,916.930716229103,916.930716229103,126.634216093213,126.634216093213,130.399393804711,206.080164210649,206.071644850789,210.538887757493,210.538547348173,210.538887757493,210.538887757493,234.328324801934,223.401712521158,223.401712521158,223.401712521158,211.94485785644,211.94485785644,211.94485785644,211.94485785644,198.762299387026,198.762299387026,198.762299387026,198.762299387026,203.600952027952,203.600952027952,203.600952027952,203.600952027952,206.938005377366,206.956928347095,192.97374563886,201.604147812745,201.604147812745,201.606420110177,201.606420110177,201.606420110177,201.606420110177,201.606420110177,199.035274737019,191.203474817449,475.994743281189,517.757756034043,523.686360701636,494.231666316648,500.728651098402,507.746790782686,507.753833235881,507.753833235881,507.753833235881,507.753833235881,507.753833235881,507.753833235881,514.813030871595,514.813030871595,514.813030871595,514.815507637197,477.879829264181,522.362150608247,522.362150608247,522.362150608247,507.680235753605,253.10280447719,253.097634650567,253.10280447719,253.10280447719,245.092848017361,245.083331724882,107.465728987995,108.991021779971,121.158381005471,121.158381005471,113.410420020112,113.410420020112,516.675798883084,523.444641807562,523.444641807562,533.213302452202
"GW3065",15.0031442810624,15.0031442810624,15.0002523747821,15.0031442810624,236.028397411948,236.028397411948,0,0,0,0,0,2.38894014680189,2.53846728136647,2.53846728136647,19.0879947957433,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,11.2024301343148,420.495454406374,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,475.263399659852,475.268883979843,418.067857930907,475.268883979843,475.268883979843,472.947666604966,472.947666604966,500.802009625546,363.057025965086,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,679.064553376547,679.064553376547,679.064553376547,643.994972576362,643.994972576362,643.994972576362,643.994972576362,643.994972576362,643.994972576362,728.964128334701,752.609269466754,734.364729082396,699.43029919845,699.43029919845,699.43029919845,320.447948747554,320.447948747554,328.626216522782,404.257298904989,404.249550780962,415.861107180351,415.85553236458,415.861107180351,415.861107180351,431.973461353559,418.20192538984,418.20192538984,418.20192538984,404.936921577174,404.936921577174,404.936921577174,404.936921577174,388.946095180294,388.946095180294,388.946095180294,388.946095180294,391.675811508388,391.675811508388,391.675811508388,391.675811508388,386.578178386275,386.597628075098,369.5194674724,366.846064621024,366.846064621024,366.851321653228,366.851321653228,366.851321653228,366.851321653228,366.851321653228,355.64563120104,349.332498435402,678.3224379688,711.381511527054,716.631615491658,694.11952077634,702.300328064867,708.518303106569,708.525458575367,708.525458575367,708.525458575367,708.525458575367,708.525458575367,708.525458575367,713.349513187083,713.349513187083,713.349513187083,713.352797805342,681.527978621512,725.433349228132,725.433349228132,725.433349228132,712.044002409696,429.550223650339,429.546949099995,429.550223650339,429.550223650339,415.50664518367,415.498347047886,257.128658318026,259.676582390372,269.863034062479,269.863034062479,266.265108796992,266.265108796992,708.79894416136,715.788485486308,715.788485486308,726.61851870222
"GW3068",15.0031442810624,15.0031442810624,15.0002523747821,15.0031442810624,236.028397411948,236.028397411948,0,0,0,0,0,2.38894014680189,2.53846728136647,2.53846728136647,19.0879947957433,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,11.2024301343148,420.495454406374,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,475.263399659852,475.268883979843,418.067857930907,475.268883979843,475.268883979843,472.947666604966,472.947666604966,500.802009625546,363.057025965086,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,679.064553376547,679.064553376547,679.064553376547,643.994972576362,643.994972576362,643.994972576362,643.994972576362,643.994972576362,643.994972576362,728.964128334701,752.609269466754,734.364729082396,699.43029919845,699.43029919845,699.43029919845,320.447948747554,320.447948747554,328.626216522782,404.257298904989,404.249550780962,415.861107180351,415.85553236458,415.861107180351,415.861107180351,431.973461353559,418.20192538984,418.20192538984,418.20192538984,404.936921577174,404.936921577174,404.936921577174,404.936921577174,388.946095180294,388.946095180294,388.946095180294,388.946095180294,391.675811508388,391.675811508388,391.675811508388,391.675811508388,386.578178386275,386.597628075098,369.5194674724,366.846064621024,366.846064621024,366.851321653228,366.851321653228,366.851321653228,366.851321653228,366.851321653228,355.64563120104,349.332498435402,678.3224379688,711.381511527054,716.631615491658,694.11952077634,702.300328064867,708.518303106569,708.525458575367,708.525458575367,708.525458575367,708.525458575367,708.525458575367,708.525458575367,713.349513187083,713.349513187083,713.349513187083,713.352797805342,681.527978621512,725.433349228132,725.433349228132,725.433349228132,712.044002409696,429.550223650339,429.546949099995,429.550223650339,429.550223650339,415.50664518367,415.498347047886,257.128658318026,259.676582390372,269.863034062479,269.863034062479,266.265108796992,266.265108796992,708.79894416136,715.788485486308,715.788485486308,726.61851870222
"GW3074",15.0031442810624,15.0031442810624,15.0002523747821,15.0031442810624,236.028397411948,236.028397411948,0,0,0,0,0,2.38894014680189,2.53846728136647,2.53846728136647,19.0879947957433,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,11.2024301343148,420.495454406374,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,475.263399659852,475.268883979843,418.067857930907,475.268883979843,475.268883979843,472.947666604966,472.947666604966,500.802009625546,363.057025965086,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,679.064553376547,679.064553376547,679.064553376547,643.994972576362,643.994972576362,643.994972576362,643.994972576362,643.994972576362,643.994972576362,728.964128334701,752.609269466754,734.364729082396,699.43029919845,699.43029919845,699.43029919845,320.447948747554,320.447948747554,328.626216522782,404.257298904989,404.249550780962,415.861107180351,415.85553236458,415.861107180351,415.861107180351,431.973461353559,418.20192538984,418.20192538984,418.20192538984,404.936921577174,404.936921577174,404.936921577174,404.936921577174,388.946095180294,388.946095180294,388.946095180294,388.946095180294,391.675811508388,391.675811508388,391.675811508388,391.675811508388,386.578178386275,386.597628075098,369.5194674724,366.846064621024,366.846064621024,366.851321653228,366.851321653228,366.851321653228,366.851321653228,366.851321653228,355.64563120104,349.332498435402,678.3224379688,711.381511527054,716.631615491658,694.11952077634,702.300328064867,708.518303106569,708.525458575367,708.525458575367,708.525458575367,708.525458575367,708.525458575367,708.525458575367,713.349513187083,713.349513187083,713.349513187083,713.352797805342,681.527978621512,725.433349228132,725.433349228132,725.433349228132,712.044002409696,429.550223650339,429.546949099995,429.550223650339,429.550223650339,415.50664518367,415.498347047886,257.128658318026,259.676582390372,269.863034062479,269.863034062479,266.265108796992,266.265108796992,708.79894416136,715.788485486308,715.788485486308,726.61851870222
"GW3077",15.0031442810624,15.0031442810624,15.0002523747821,15.0031442810624,236.028397411948,236.028397411948,0,0,0,0,0,2.38894014680189,2.53846728136647,2.53846728136647,19.0879947957433,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,19.0765955296417,11.2024301343148,420.495454406374,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,475.263399659852,475.268883979843,418.067857930907,475.268883979843,475.268883979843,472.947666604966,472.947666604966,500.802009625546,363.057025965086,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,500.802009625546,679.064553376547,679.064553376547,679.064553376547,643.994972576362,643.994972576362,643.994972576362,643.994972576362,643.994972576362,643.994972576362,728.964128334701,752.609269466754,734.364729082396,699.43029919845,699.43029919845,699.43029919845,320.447948747554,320.447948747554,328.626216522782,404.257298904989,404.249550780962,415.861107180351,415.85553236458,415.861107180351,415.861107180351,431.973461353559,418.20192538984,418.20192538984,418.20192538984,404.936921577174,404.936921577174,404.936921577174,404.936921577174,388.946095180294,388.946095180294,388.946095180294,388.946095180294,391.675811508388,391.675811508388,391.675811508388,391.675811508388,386.578178386275,386.597628075098,369.5194674724,366.846064621024,366.846064621024,366.851321653228,366.851321653228,366.851321653228,366.851321653228,366.851321653228,355.64563120104,349.332498435402,678.3224379688,711.381511527054,716.631615491658,694.11952077634,702.300328064867,708.518303106569,708.525458575367,708.525458575367,708.525458575367,708.525458575367,708.525458575367,708.525458575367,713.349513187083,713.349513187083,713.349513187083,713.352797805342,681.527978621512,725.433349228132,725.433349228132,725.433349228132,712.044002409696,429.550223650339,429.546949099995,429.550223650339,429.550223650339,415.50664518367,415.498347047886,257.128658318026,259.676582390372,269.863034062479,269.863034062479,266.265108796992,266.265108796992,708.79894416136,715.788485486308,715.788485486308,726.61851870222
