"ASV","Phylum","Class","Order"
"ASV_44","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales"
"ASV_92","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales"
"ASV_20","Acidobacteriota","Vicinamibacteria","Subgroup 9"
"ASV_61","Acidobacteriota","Vicinamibacteria","Subgroup 9"
"ASV_48","Acidobacteriota","Vicinamibacteria","Vicinamibacterales"
"ASV_68","Acidobacteriota","Vicinamibacteria","Vicinamibacterales"
"ASV_78","Acidobacteriota","Vicinamibacteria","Vicinamibacterales"
"ASV_30","Actinomycetota","Acidimicrobiia","Actinomarinales"
"ASV_83","Actinomycetota","Acidimicrobiia","Actinomarinales"
"ASV_69","Actinomycetota","Acidimicrobiia","Microtrichales"
"ASV_98","AncK6",NA,NA
"ASV_56","Bacteroidota","Bacteroidia","Flavobacteriales"
"ASV_72","Bacteroidota","Bacteroidia","Flavobacteriales"
"ASV_81","Bacteroidota","Bacteroidia","Flavobacteriales"
"ASV_64","Chloroflexota","Anaerolineae","Aggregatilineales"
"ASV_93","Chloroflexota","Anaerolineae","Aggregatilineales"
"ASV_33","Chloroflexota","Anaerolineae","Caldilineales"
"ASV_80","Chloroflexota","Dehalococcoidia","SAR202 clade"
"ASV_88","Chloroflexota","Dehalococcoidia","SAR202 clade"
"ASV_46","Chloroflexota","TK17",NA
"ASV_63","Cyanobacteriota","Cyanobacteriia","Chloroplast"
"ASV_9","Cyanobacteriota","Cyanobacteriia","Cyanobacteriales"
"ASV_2","Cyanobacteriota","Cyanobacteriia","Synechococcales"
"ASV_5","Cyanobacteriota","Cyanobacteriia","Synechococcales"
"ASV_16","Cyanobacteriota","Cyanobacteriia","Synechococcales"
"ASV_17","Cyanobacteriota","Cyanobacteriia","Synechococcales"
"ASV_23","Cyanobacteriota","Cyanobacteriia","Synechococcales"
"ASV_24","Cyanobacteriota","Cyanobacteriia","Synechococcales"
"ASV_41","Cyanobacteriota","Cyanobacteriia","Synechococcales"
"ASV_82","Cyanobacteriota","Cyanobacteriia","Synechococcales"
"ASV_54","Dadabacteria","Dadabacteriia","Dadabacteriales"
"ASV_96","Dadabacteria","Dadabacteriia","Dadabacteriales"
"ASV_99","Myxococcota","bacteriap25",NA
"ASV_73","Nitrospinota","P9X2b3D02",NA
"ASV_84","PAUC34f",NA,NA
"ASV_97","Planctomycetota","Planctomycetes","Pirellulales"
"ASV_71","Pseudomonadota","Alphaproteobacteria","Defluviicoccales"
"ASV_79","Pseudomonadota","Alphaproteobacteria","Parvibaculales"
"ASV_8","Pseudomonadota","Alphaproteobacteria","Pelagibacterales"
"ASV_14","Pseudomonadota","Alphaproteobacteria","Pelagibacterales"
"ASV_29","Pseudomonadota","Alphaproteobacteria","Pelagibacterales"
"ASV_31","Pseudomonadota","Alphaproteobacteria","Pelagibacterales"
"ASV_37","Pseudomonadota","Alphaproteobacteria","Pelagibacterales"
"ASV_65","Pseudomonadota","Alphaproteobacteria","Pelagibacterales"
"ASV_95","Pseudomonadota","Alphaproteobacteria","Pelagibacterales"
"ASV_90","Pseudomonadota","Alphaproteobacteria","Puniceispirillales"
"ASV_94","Pseudomonadota","Alphaproteobacteria","Puniceispirillales"
"ASV_47","Pseudomonadota","Alphaproteobacteria","Rhodobacterales"
"ASV_28","Pseudomonadota","Alphaproteobacteria","Rhodospirillales"
"ASV_6","Pseudomonadota","Alphaproteobacteria","Rickettsiales"
"ASV_57","Pseudomonadota","Alphaproteobacteria",NA
"ASV_3","Pseudomonadota","Gammaproteobacteria","Burkholderiales"
"ASV_4","Pseudomonadota","Gammaproteobacteria","Burkholderiales"
"ASV_10","Pseudomonadota","Gammaproteobacteria","Burkholderiales"
"ASV_13","Pseudomonadota","Gammaproteobacteria","Burkholderiales"
"ASV_15","Pseudomonadota","Gammaproteobacteria","Burkholderiales"
"ASV_19","Pseudomonadota","Gammaproteobacteria","Burkholderiales"
"ASV_22","Pseudomonadota","Gammaproteobacteria","Burkholderiales"
"ASV_25","Pseudomonadota","Gammaproteobacteria","Burkholderiales"
"ASV_39","Pseudomonadota","Gammaproteobacteria","Burkholderiales"
