"Sample","PC1","PC2","PC3","Sample.y","Clade"
"GW3005",-0.00609745565717644,-0.328845896061068,-0.025474144664892,"GW3005","G01"
"GW3010",-0.184596301544742,0.0338747458606073,-0.0163041462543582,"GW3010","G11"
"GW3014",-0.0627846405416423,-0.0239991267568335,-0.112341688604175,"GW3014","G02"
"GW3018",-0.189978384389633,0.117228868860022,-0.0381023119277524,"GW3018","G09"
"GW3030",-0.00226168132933473,-0.32606064194341,-0.0285994213630851,"GW3030","G01"
"GW3047",-0.325697343403014,0.254707695126,0.131959880728635,"GW3047","G03"
"GW3065",-0.0571418761432507,-0.0212802280820466,-0.155277892699908,"GW3065","G07"
"GW3068",-0.333821661120873,0.262723124724466,0.138394372178703,"GW3068","G08"
"GW3074",-0.335881731811477,0.262024823460758,0.14411074201695,"GW3074","G04"
"GW3077",-0.294526760116987,0.214730554620157,0.0832215451612412,"GW3077","G11"
"GW3078",-0.346494990875127,0.272145211177171,0.164668477618888,"GW3078","G04"
"GW3092",-0.063915019678494,-0.00674692681855072,-0.0973356960265238,"GW3092","G22"
"GW3107",-0.292241252405599,0.221384895064045,0.0443763920879971,"GW3107","G09"
"GW3108",-0.271517094834758,0.200229290061022,0.0512803206414188,"GW3108","G09"
"GW3119",-0.00657002797132247,-0.540681628564748,0.226237973854295,"GW3119","G12"
"GW3122",-0.00996643749779504,-0.533079853211258,0.23245644442789,"GW3122","G12"
"GW3123",-0.221265767172012,-0.136927549740129,0.238638901313309,"GW3123","G11"
"GW3124",0.0137187605116132,-0.359336702574748,0.0287355899422287,"GW3124","G10"
"GW3125",-0.306628903092184,0.067044648307133,0.234346926082041,"GW3125","G10"
"GW3127",-0.223250450161677,0.101231254841188,0.0815715702260849,"GW3127","G10"
"GW3134",-0.308241573580139,0.18299058524159,0.15501695315011,"GW3134","G04"
"GW3145",-0.323528415244863,0.253214483368143,0.134307649091827,"GW3145","G16"
"GW3217",-0.201651665152764,0.120101110436112,-0.028164269720264,"GW3217","G04"
"GW3232",0.530512408965248,0.118780824284283,-0.0107226047161196,"GW3232","G17"
"GW3233",0.560516525934784,0.184788470309241,0.128827583217205,"GW3233","G17"
"GW3234",0.567762848428975,0.152958251602103,0.0462272712520738,"GW3234","G17"
"GW3236",0.00632101318510792,-0.0650383926354286,-0.267867640349074,"GW3236","G14"
"GW3240",0.551950969282818,0.134432933236662,-0.0495704862577274,"GW3240","G17"
"GW3246",0.564580934864544,0.132884928968198,0.0499021092378981,"GW3246","G17"
"GW3248",0.58418897261998,0.149360028955923,0.0670497717229577,"GW3248","G17"
"GW3250",0.0267360287644423,-0.0721778982457245,-0.356162068409909,"GW3250","G14"
"GW3257",0.0119740990021784,-0.350061835033596,0.0330984316407996,"GW3257","G06"
"GW3265",0.00909430787928425,-0.381203911042335,0.0451197823852705,"GW3265","G06"
"GW3294",0.00192390981569098,-0.308205241003253,-0.025021582496416,"GW3294","G06"
"GW3314",0.000258759020240647,-0.301702726991621,-0.0334996368848819,"GW3314","G01"
"GW3320",0.302761248017389,-0.0115327008191916,-0.266748844843504,"GW3320","G17"
"GW3364",0.472714919826072,0.253735331533,0.125078916426053,"GW3364","G17"
"GW3387",0.0130967149204542,-0.0753528034436471,-0.186670937332298,"GW3387","G13"
"GW3389",0.00153254235388494,-0.0251646485565201,-0.402329584553675,"GW3389","G17"
"GW3390",0.407971196577731,0.0604036880542718,-0.195792379590492,"GW3390","G17"
"GW3405",-0.192456413487172,0.112967869664342,-0.153499315389293,"GW3405","G19"
"GW3407",-0.110804622881393,0.0258774775319678,-0.248357395333814,"GW3407","G19"
"GW3409",-0.0914940888317372,0.014374038269828,-0.269182860759759,"GW3409","G19"
"GW3410",-0.238014672052069,0.173839038571221,-0.0807878778585214,"GW3410","G19"
"GW3413",-0.16907267580026,0.0908534113763601,-0.207982534856197,"GW3413","G19"
"GW3415",-0.211611060541643,0.158532416386855,-0.0755145908782503,"GW3415","G21"
"GW3420",-0.183730464735532,0.103688087659961,-0.186815191005178,"GW3420","G19"
"GW3430",0.600537918274385,0.163591124173371,0.112912071452677,"GW3430","G17"
"GW3443",0.0161661692969981,-0.199657421125131,-0.0868714625023626,"GW3443","G13"
"GW3448",0.00220177181633966,-0.0375432280360046,-0.303667610154319,"GW3448","G21"
"GW3479",0.506412525226523,0.203076382711364,0.0829053715791463,"GW3479","G17"
