"","MDS1","MDS2"
"GW3005",-0.562326040172354,-0.0818594545116865
"GW3010",-0.101660409421423,-0.0674306813289152
"GW3014",-0.0943602860679737,-0.366148388326276
"GW3018",0.102368978063113,-0.18593716781584
"GW3030",-0.649066130659549,-0.142899157864479
"GW3047",0.0687588776068022,-0.256661297840325
"GW3065",0.0258052159726517,-0.498016072774455
"GW3068",0.130982995683608,-0.294451021495991
"GW3074",0.085518930307887,-0.307848561540044
"GW3077",0.119141355348206,-0.239212019502395
"GW3078",0.124127102201938,-0.332831411517492
"GW3092",0.11004606912425,-0.528832915645268
"GW3107",0.147742555181741,-0.193019353288872
"GW3108",0.120341385903658,-0.27011994321711
"GW3119",-0.792942649228608,0.0992943409421064
"GW3122",-0.756121201346162,0.138503216472785
"GW3123",-0.194059601625552,-0.0998294431828761
"GW3124",-0.831961681153463,0.198979376195683
"GW3125",-0.157569310562346,-0.157337090364612
"GW3127",-0.102859858633028,-0.289164365902379
"GW3134",-0.0867014278643237,-0.231467656266423
"GW3145",0.108867574756735,-0.354817236541126
"GW3217",0.219518998603896,-0.284131735974187
"GW3232",0.263798060955625,0.574921664533812
"GW3233",0.186076796647239,0.614861585151897
"GW3234",0.201979814287551,0.544899148341743
"GW3236",0.462762538483072,0.0965052650626727
"GW3240",0.325353687464822,0.555841581151252
"GW3246",0.177680106667311,0.719397258682836
"GW3248",0.244760801146406,0.718083622557416
"GW3250",0.393128662182739,0.141017503184555
"GW3257",-0.856688769530571,-0.034025183023268
"GW3265",-0.743991209800928,0.000608017956347723
"GW3294",-0.403506587425356,0.0783440284454893
"GW3314",-0.596795399144817,-0.159901037944849
"GW3320",0.38601766035847,0.546704205901428
"GW3364",0.164268566801351,0.213816068548992
"GW3387",0.555172133022406,0.0762631370885891
"GW3389",0.367160293408117,0.105507503231977
"GW3390",0.265406956655672,0.404408000072004
"GW3405",0.276092214037773,-0.276839262044204
"GW3407",0.326672340665508,-0.274382319061296
"GW3409",0.353855477448431,-0.193267426905381
"GW3410",0.214466546999907,-0.164178800604124
"GW3413",0.273505158344232,-0.208823027563648
"GW3415",0.17666942441395,-0.0798695377428408
"GW3420",0.253661147187735,-0.17832964682225
"GW3430",0.222150555339698,0.859426038745175
"GW3443",-0.712737457733962,0.383428223636173
"GW3448",0.389770272449173,0.0546581157856212
"GW3479",0.178595257068034,0.312030004135032
"GW3487",0.162417526019205,0.654145799318929
"GW3488",-0.432117850756222,0.495748875381708
"GW3490",0.639770775360278,-0.108018085512222
"GW3491",0.219632169607948,0.828914356517831
"GW3496",-0.625275345512868,0.202077843569767
"GW3523",0.227704455652899,-0.368869809010779
"GW3528",-0.142869631430306,0.437410172305054
"GW3543",0.0811005226061819,0.316285596848945
"GW3574",0.415340972477357,-0.0314133476819247
"GW3576",0.285531587117043,-0.0710099938746768
"GW3582",0.395095946522064,-0.0980658039694741
"GW4082",-0.727342406874953,0.122862307098437
"GW4094",0.0724502839810876,-0.332694396684563
"GW4109",0.135085111997307,-0.422121067157572
"GW4146",0.139829094714837,0.239590354009641
"GW4147",0.147536337613309,0.151597536709279
"GW4187",0.113272716456632,0.0718538017358752
"GW4191",-0.767331025819789,0.0720182286728022
"GW4193",-0.815783553629783,-0.129902487894076
"GW4194",-0.778236620902944,-0.0884323208099841
"GW4229",-0.127895464140367,-0.169981997486231
"GW4246",0.163497545729064,0.0879157140829742
"GW4249",0.151635430251055,0.1207781445003
"GW4253",0.136675368413327,0.0422989261195566
"GW4283",-0.593909274815326,-0.136344967123389
"GW4284",-0.752072685211141,0.0984265335727772
"GW4285",-0.197214798366785,-0.128073441406231
"GW4286",-0.730579705258601,0.0544521045006487
"GW4293",0.13982853339879,0.13347358202605
"GW4298",0.139359872361363,-0.359002570910435
"GW4299",0.00401945908533394,-0.223235318277117
"GW4301",0.157804706328648,-0.302659833718677
"GW4305",0.103266688410881,-0.314947811401275
"GW4310",0.0675625494309496,-0.455739279186724
"GW4339",0.156042401674918,0.129488476153615
"GW4340",0.0444508395938575,-0.265087729870044
"GW4374",-0.835775966463554,0.115084228464529
"GW4377",-0.0362020707822349,-0.227378045801698
"GW4409",0.0459488976806197,-0.355277462074472
"GW4431",-0.657475083258061,0.0498958939934314
"GW4433",-0.0887794569241591,-0.619800970629804
"GW4434",-0.0301015787484831,-0.264888115826286
"GW4476",0.113194311243555,0.047641449557297
"GW4507",-0.0802818010880168,-0.216943906890163
"GW5796",0.181405778621785,-0.246339670304536
"GW5831",0.311234426013778,0.0213667904161486
"GW5850",0.283204422293696,0.384444147372646
"GW5854",0.215312003668934,-0.112446990048603
"GW5871",0.157523125925053,0.502388663140887
"GW5876",-0.0826703921368035,-0.276531443452279
"GW5878",0.437154815467164,-0.472241293105822
"GW5888",0.37073807762575,-0.457316513430766
"GW5889",0.199751759153367,0.0323977841809847
"GW5894",0.191785013278389,-0.562212743462336
"GW5907",0.546025066801822,-0.0397015388051263
"GW5910",0.633234784946368,0.0351106770456115
"GW5915",-0.517267700369101,0.0460594308401532
"GW5926",0.371735488607204,-0.246332783939793
"GW5930",0.204513362025533,0.31934166873128
"GW5936",0.0293517191869031,-0.0657190199644323
"GW5943",0.232089773068478,-0.352293590152859
"GW5967",-0.61282297753472,0.14021847747785
"GW5970",0.056443686334315,-0.138057494851305
"GW5973",-0.420487118852282,-0.0376632308375524
"GW5998",0.268727918501758,-0.130920985786962
"GW6015",-0.705295361351272,-0.0795558020219603
"GW6016",-0.683486387428195,0.2123183187039
"GW6018",0.0710289750919124,0.114558912339431
"GW6026",-0.519690652330123,-0.00314066749899971
"GW6053",-0.0501967379735106,-0.0509736500384027
"GW6084",0.202556858394184,0.421196938193975
"GW6114",0.178235982951686,-0.42255916171031
"GW6134",-0.0359536496979038,0.264241696577887
"GW6139",0.239518744032614,0.534780967523953
"GW6141",0.521272772132226,0.146968674567853
"GW6169",0.204390127925735,-0.332146383222156
"GW6176",0.234160836532765,-0.0607115410016283
"GW6186",0.562187977402967,0.22601249782467
"GW6193",-0.0449253645699546,0.765715262438285
"GW6197",-0.30577824073403,0.0449021746265975
"GW6202",0.657304812829302,0.406903570481114
