"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","G01 vs G11",1,1.51550940663385,9.2177973801163,0.535364493878951,0.004,0.0151475409836066,"."
"2","G01 vs G02",1,1.16395857234875,5.31053485646017,0.431381326512664,0.016,0.0345420560747664,"."
"3","G01 vs G09",1,2.00380969628889,14.7595484514709,0.621204922375416,0.002,0.00871698113207547,"*"
"4","G01 vs G03",1,1.50835307763262,10.4320003392764,0.598439659031663,0.014,0.032019801980198,"."
"5","G01 vs G07",1,1.84454811602283,6.80956117577639,0.362026583828334,0.002,0.00871698113207547,"*"
"6","G01 vs G08",1,1.56102071390118,7.23291217966821,0.445570831629796,0.002,0.00871698113207547,"*"
"7","G01 vs G04",1,2.65355099304284,15.5896410678377,0.493504849718282,0.001,0.00607894736842105,"*"
"8","G01 vs G22",1,0.742985108202143,3.40064584905214,0.361745980399317,0.029,0.05075,""
"9","G01 vs G12",1,1.76896334790236,7.52996661070052,0.283828725501049,0.001,0.00607894736842105,"*"
"10","G01 vs G10",1,0.993489381858239,4.52818430821207,0.392792497686425,0.01,0.0251086956521739,"."
"11","G01 vs G16",1,2.3709916284262,12.5550502914314,0.491294290101285,0.002,0.00871698113207547,"*"
"12","G01 vs G17",1,3.22363678600439,20.7785626047163,0.453892857758177,0.001,0.00607894736842105,"*"
"13","G01 vs G14",1,1.42788462051274,8.55978630864937,0.550122356364956,0.018,0.0361565217391304,"."
"14","G01 vs G06",1,0.87553041869816,4.73822635708411,0.403657776988136,0.014,0.032019801980198,"."
"15","G01 vs G13",1,1.11214106789157,4.9100222380077,0.412259703624957,0.017,0.0357,"."
"16","G01 vs G19",1,2.01401242750645,6.77636606075557,0.297517437271588,0.001,0.00607894736842105,"*"
"17","G01 vs G21",1,1.12888394659076,4.36882346570222,0.353212532931416,0.006,0.018986301369863,"."
"18","G01 vs G20",1,1.07614441207313,3.96780540041147,0.331539932983456,0.01,0.0251086956521739,"."
"19","G01 vs G15",1,1.4956082337526,7.14930590501923,0.471923000950858,0.004,0.0151475409836066,"."
"20","G01 vs G18",1,0.912659689462539,4.24481643824166,0.414337969238442,0.03,0.0509558823529412,""
