"Order","Colour"
"Bacteria | Proteobacteria | Gammaproteobacteria | Unclassified","#FF0000"
"Bacteria | Proteobacteria | Gammaproteobacteria | Pseudomonadales","#FF0500"
"Bacteria | Proteobacteria | Gammaproteobacteria | Arenicellales","#FF0A00"
"Bacteria | Proteobacteria | Gammaproteobacteria | UBA10353 marine group","#FF0F00"
"Bacteria | Proteobacteria | Gammaproteobacteria | Ectothiorhodospirales","#FF1400"
"Bacteria | Proteobacteria | Gammaproteobacteria | SZB50","#FF1900"
"Bacteria | Proteobacteria | Gammaproteobacteria | Beggiatoales","#FF1E00"
"Bacteria | Proteobacteria | Gammaproteobacteria | HOC36","#FF2300"
"Bacteria | Proteobacteria | Gammaproteobacteria | Granulosicoccales","#FF2800"
"Bacteria | Proteobacteria | Gammaproteobacteria | Ga0077536","#FF2D00"
"Bacteria | Proteobacteria | Gammaproteobacteria | Nitrosococcales","#FF3200"
"Bacteria | Proteobacteria | Gammaproteobacteria | B2M28","#FF3700"
"Bacteria | Proteobacteria | Gammaproteobacteria | Gammaproteobacteria Incertae Sedis","#FF3C00"
"Bacteria | Proteobacteria | Gammaproteobacteria | HgCo23","#FF4100"
"Bacteria | Proteobacteria | Gammaproteobacteria | Xanthomonadales","#FF4600"
"Bacteria | Proteobacteria | Gammaproteobacteria | pItb-vmat-80","#FF4B00"
"Bacteria | Unclassified | Unclassified | Unclassified","#FF5100"
"Bacteria | Desulfobacterota | Desulfovibrionia | Desulfovibrionales","#FF5600"
"Bacteria | Proteobacteria | Unclassified | Unclassified","#FF5B00"
"Bacteria | SAR324 clade(Marine group B) | Unclassified | Unclassified","#FF6000"
"Bacteria | Desulfobacterota | Desulfobacteria | Desulfobacterales","#FF6500"
"Bacteria | Bdellovibrionota | Oligoflexia | Silvanigrellales","#FF6A00"
"Bacteria | Bdellovibrionota | Oligoflexia | Oligoflexales","#FF6F00"
"Bacteria | Bdellovibrionota | Bdellovibrionia | Bdellovibrionales","#FF7400"
"Bacteria | Dadabacteria | Dadabacteriia | Dadabacteriales","#FF7900"
"Bacteria | Hydrogenedentes | Hydrogenedentia | Hydrogenedentiales","#FF7E00"
"Bacteria | Actinobacteriota | Actinobacteria | Micrococcales","#FF8300"
"Bacteria | Myxococcota | Polyangia | UASB-TL25","#FF8800"
"Bacteria | Myxococcota | Polyangia | Polyangiales","#FF8D00"
"Bacteria | Proteobacteria | Alphaproteobacteria | Unclassified","#FF9200"
"Bacteria | NB1-j | Unclassified | Unclassified","#FF9700"
"Bacteria | Acidobacteriota | Thermoanaerobaculia | Thermoanaerobaculales","#FF9C00"
"Bacteria | Myxococcota | Polyangia | Unclassified","#FFA100"
"Bacteria | Myxococcota | Polyangia | Blfdi19","#FFA600"
"Bacteria | Myxococcota | Myxococcia | Myxococcales","#FFAB00"
