"","GW3005","GW3010","GW3014","GW3018","GW3030","GW3047","GW3065","GW3068","GW3074","GW3077","GW3078","GW3092","GW3107","GW3108","GW3119","GW3122","GW3123","GW3124","GW3125","GW3127","GW3134","GW3145","GW3217","GW3232","GW3233","GW3234","GW3236","GW3240","GW3246","GW3248","GW3250","GW3257","GW3265","GW3294","GW3314","GW3320","GW3364","GW3387","GW3389","GW3390","GW3405","GW3407","GW3409","GW3410","GW3413","GW3415","GW3420","GW3430","GW3443","GW3448","GW3479","GW3487","GW3488","GW3490","GW3491","GW3496","GW3523","GW3528","GW3543","GW3574","GW3576","GW3582","GW4082","GW4094","GW4109","GW4146","GW4147","GW4187","GW4191","GW4193","GW4194","GW4229","GW4246","GW4249","GW4253","GW4283","GW4284","GW4285","GW4286","GW4293","GW4298","GW4299","GW4301","GW4305","GW4310","GW4339","GW4340","GW4374","GW4377","GW4409","GW4420","GW4431","GW4433","GW4434","GW4436","GW4439","GW4440","GW4476","GW4507","GW5796","GW5831","GW5850","GW5854","GW5871","GW5876","GW5878","GW5888","GW5889","GW5894","GW5907","GW5910","GW5915","GW5926","GW5930","GW5936","GW5943","GW5967","GW5970","GW5973","GW5998","GW6015","GW6016","GW6018","GW6026","GW6053","GW6084","GW6114","GW6134","GW6139","GW6141","GW6169","GW6176","GW6186","GW6193","GW6197","GW6202"
"GW3005",0,0.793616350318263,0.959054180896732,0.96668304968224,0.297325691255795,0.97467715191537,0.986866119522583,0.986402434098926,0.986909231475103,0.966862856418167,0.986725544575783,0.989525835375212,0.966679026024625,0.981585430938905,0.831367076294499,0.858433140264389,0.910750887159364,0.884005385821986,0.952355141384064,0.974459149989965,0.977488698122954,0.984908961475769,0.975782127178098,0.997109803048106,0.99636246026655,0.994877832315659,0.97177246419019,0.998503465658475,0.997442081414894,0.999514374514374,0.974340113392734,0.89229599157398,0.844671483611658,0.878536487072065,0.630143002885629,0.984571474730068,0.986477457279593,0.989514628283563,0.981462101393544,0.98457382666703,0.982259141226797,0.965661828197358,0.977515800773685,0.978871748375696,0.962330703573063,0.98250911147541,0.959422111135227,1,0.966552409751001,0.988242674427247,0.989225776861788,0.995257677181352,0.972111795011204,0.989734644587383,1,0.865806069439221,0.98459840060314,0.937131214399563,0.97441214677201,0.978884502571629,0.967399896276604,0.962533828729518,0.882121423834049,0.96799893229233,0.986754622667329,0.987016581291023,0.987008145642426,0.980902310428668,0.858194243278047,0.616193835460245,0.660734174794444,0.902570074841808,0.986531220930678,0.987082979754027,0.984840122138101,0.620732756289897,0.868150046230127,0.880512346704519,0.86381255503706,0.986848623385776,0.987506394894855,0.97928858948264,0.979862676457865,0.979970502413633,0.986887099814211,0.987142324057294,0.98112345682406,0.844394051023893,0.953869768905899,0.983164492375984,0.948740254363336,0.843518771807927,0.989720089401227,0.980337110991033,0.984533842374526,0.93046142715622,0.967210069236551,0.984439734451449,0.972481802657162,0.984949418652529,0.960249233260445,0.990244541316409,0.987317913783354,0.992164570936212,0.938845605873118,0.990508313511785,0.98992224333812,0.985227268540557,0.991456016994627,0.989527653852708,0.973468807445492,0.835091178327762,0.987101017649638,0.989477722438422,0.974769355155897,0.985499551543673,0.825205281421143,0.98105656573409,0.791689874686812,0.987016298505962,0.872801368309235,0.882123108162679,0.980452280559692,0.82007428891153,0.929684746532584,0.990813602773936,0.986596315513783,0.987206543460323,0.983325699971743,0.96421905952313,0.988017986483212,0.982353099453083,0.991491424109427,0.999030668569429,0.800694256711274,0.996738197424893
"GW3010",0.793616350318263,0,0.867064050635178,0.785169076313084,0.838578762516978,0.73961563129523,0.914665724392886,0.768734103615962,0.766744101992378,0.440764147806577,0.774589510005821,0.904245566703017,0.749987101180831,0.765713777301983,0.94595034500429,0.95214019877008,0.637596670649198,0.958183365016721,0.755070279397154,0.81482248997085,0.773183823124111,0.754646972638263,0.83477518577006,0.971996626854018,0.983920706252276,0.972733720033182,0.916587671373057,0.960696979030381,0.992517820944698,0.991881511427809,0.932164939946067,0.948572812129785,0.939949553428084,0.923222312661606,0.902362210413265,0.95407894621294,0.891900357506341,0.918598135553845,0.86740976045713,0.933224937481842,0.829733951085447,0.886670265228757,0.902345729700993,0.784363949380632,0.847042114683718,0.753784058024311,0.834662622668514,0.999500642031674,0.980430352616696,0.872340648994219,0.938568758923157,0.990263043162331,0.927001888416728,0.968342502691292,0.99876610405606,0.952070785404103,0.577657551875088,0.949521614983917,0.940223919910329,0.935246962988951,0.857340489666022,0.91936421935097,0.950473079696673,0.758129691832431,0.816459273238008,0.899153769367721,0.856329043805253,0.820134663917248,0.950912107631978,0.88159249525408,0.898059396276792,0.720258207341908,0.804881251598248,0.845639126400626,0.799975585681007,0.873717759927862,0.946803579107711,0.733018517252476,0.942620043899681,0.833559454913102,0.783709438323177,0.768639593708344,0.782219768339273,0.765118745574942,0.888097256074133,0.851597422959447,0.76717132895925,0.947525149192187,0.743570221843974,0.773027207211021,0.765865119844988,0.941533683423544,0.965617221453998,0.807383887133895,0.920061069990525,0.778245088255676,0.799168074533631,0.813564782300461,0.796826406736397,0.773674943719716,0.860375627138862,0.955798377763421,0.798194021915747,0.975186846038864,0.814007965800847,0.944971654073768,0.939157427804253,0.842255046010603,0.930916810021506,0.933703460514271,0.961228685658935,0.922520827344659,0.914003774431704,0.930541556657058,0.789438826118811,0.837708946213157,0.92953902785099,0.812334887073019,0.891448588275283,0.849620845666806,0.953497682370085,0.945171109432442,0.821786228976898,0.920050272719046,0.785311338971167,0.927108914678089,0.864626086322942,0.952052872927645,0.935164085275647,0.924899146555896,0.819828454114523,0.752743117966285,0.941524096794661,0.998448423455557,0.851016089203991,0.940099501131899
"GW3014",0.959054180896732,0.867064050635178,0,0.89187501786917,0.96988348292804,0.892744322134193,0.940967959801672,0.904648146268777,0.906403883120249,0.898719984553958,0.911243857971062,0.936685929993285,0.892704951341794,0.900130431283561,0.989429519153281,0.987753833653599,0.892236065753448,0.992559780643251,0.897189129298035,0.907501711230721,0.908539449522401,0.901747507158541,0.93201687095382,0.986913679027002,0.988787114357303,0.983248146537157,0.961586099067662,0.989394085829514,0.9937697609378,0.993380699584075,0.956973178229038,0.99134955918921,0.986737762166339,0.963977544360209,0.971025503603751,0.989857584206164,0.924837427203666,0.963095418602229,0.944923418912439,0.973474519624196,0.920337578177982,0.928166153041206,0.935486189583526,0.911163979922381,0.917589634952494,0.902091213056715,0.909682319401212,1,0.993230932952823,0.948048793268264,0.950010720128043,0.991490263486669,0.9873314884576,0.972397697690104,0.999265462024387,0.98968168858033,0.924372154985982,0.981020422417414,0.960089076977301,0.949566461161059,0.929799453238758,0.94196658510067,0.985614955422562,0.901529337907998,0.907423628972106,0.937273178214555,0.911829450523139,0.912445925259821,0.986973745264029,0.981630536006961,0.975704121610241,0.88777932949738,0.903874379622972,0.908445111811265,0.900081102577942,0.963197668226959,0.987201215299848,0.889517366542869,0.984809176657602,0.91078365695974,0.911799925429511,0.902182615126485,0.905903445281707,0.901053632509776,0.935320965525059,0.915552605330696,0.900845107461246,0.989812372843041,0.895850588316464,0.903359957232679,0.903784431171655,0.981071669302663,0.974278819504707,0.913090231518212,0.94321769371968,0.910007381071038,0.911517538304002,0.915396574328668,0.913420913594899,0.915955983109928,0.943324986923793,0.97478567266833,0.916128101085015,0.977317704663923,0.929669059998349,0.803690769817243,0.588929774622018,0.934103446151007,0.957368886992162,0.966317349916605,0.983225425758438,0.970825464710982,0.939256598452101,0.954937317751579,0.914369886422974,0.923367101922932,0.98082018935799,0.919400046805549,0.956895261046326,0.921154112551018,0.984478858416182,0.982167556388168,0.92726579788032,0.969634780296452,0.916756959740508,0.970056702855069,0.937165341043766,0.961239642081635,0.984139923432428,0.96920255388565,0.919055459888108,0.91847375806361,0.971114655713156,0.999593097731897,0.951920149777131,0.987271326067391
"GW3018",0.96668304968224,0.785169076313084,0.89187501786917,0,0.974870718901603,0.778474267140951,0.906068268050441,0.788427053085171,0.790929014804854,0.744342009987066,0.791219393798617,0.906906590056399,0.392014844934949,0.324304457023869,0.995446333248265,0.994202041909029,0.798227332205069,0.997517709369823,0.780112228453739,0.836059884652277,0.793665399183364,0.781183560189576,0.859788140093674,0.983890607302534,0.975269674093087,0.967725928711791,0.928502875156673,0.988479329847816,0.994720942173921,0.993040858709165,0.935101859092155,0.995182039437739,0.993002362090071,0.971761798754117,0.977263329319685,0.984710966130897,0.89409287224039,0.963847721349277,0.924064081500489,0.970859825230856,0.823909465943763,0.870698023986506,0.887472966462247,0.793222580632104,0.821105579713089,0.811672690693924,0.818248752837827,1,0.992200554167735,0.936400782895013,0.93941040466413,0.991280337160297,0.985973083651867,0.974364558422417,0.999265462024387,0.992869884476443,0.81814913254321,0.986773441185947,0.954435419160744,0.944968763898815,0.876763472294379,0.917207199239423,0.992470065946095,0.768787650314019,0.805341284284177,0.910662602294724,0.853747823934684,0.846543432588531,0.994132846737921,0.979102859696116,0.986478493437634,0.787881087995365,0.815292574003604,0.839401128099809,0.808926092625659,0.972644661582449,0.993948069763553,0.790361583421727,0.991736876573798,0.831323733782547,0.80035210644169,0.781224314101708,0.78626535844225,0.528293430174394,0.882936171478857,0.841735544997034,0.787953426434341,0.997069487905429,0.709043912038996,0.796080183283917,0.82358135890759,0.987566834210196,0.960230589731474,0.8464031728274,0.929341165741446,0.833398152979069,0.667247873781419,0.839935397504024,0.834315079120009,0.812337011444661,0.921372221363988,0.962192915637422,0.828882519091506,0.969110772109864,0.870042879447945,0.956674799777128,0.943149000969129,0.888429685797753,0.935635701947262,0.964157011450159,0.951186111398279,0.975919193311539,0.90782571472539,0.952030632240302,0.835281132976163,0.84241703312433,0.988772571676917,0.820483157084131,0.961008993565403,0.849344716004727,0.991793804007582,0.988988066012861,0.866630421458767,0.975080422666986,0.504634202423081,0.964417345187073,0.882214621247997,0.95107579247977,0.977988588317411,0.936762574543071,0.844993002544899,0.842117433940043,0.969984809748379,0.999354293945264,0.952853340669165,0.988127015433206
"GW3030",0.297325691255795,0.838578762516978,0.96988348292804,0.974870718901603,0,0.976717740916474,0.992461574484181,0.963035246371047,0.958843198202475,0.973850954323716,0.99128028000631,0.994507202818945,0.97503601741322,0.977285144666354,0.841367006603318,0.87271264382942,0.935148604235182,0.90436136069725,0.96811967360091,0.986255300044323,0.984700460436339,0.992072361322073,0.993574463674992,0.998031317641578,0.997143310585621,0.996032934131737,0.97805898553099,0.998345935727788,0.99875758240152,1,0.983724219550602,0.875256450715181,0.837001077720196,0.862851619587718,0.656265838819743,1,0.993937195564307,0.993929957964543,0.989067018052995,0.994662659342937,0.9862897145118,0.972227258232167,0.984267617612125,0.985458005569141,0.970411441600166,0.988863507908752,0.970048709710851,1,0.967002546783302,0.990113283670956,0.994092652088299,0.995494840866153,0.962582654166503,0.993470825992331,1,0.846600559400348,0.99414447092963,0.936775884332024,0.982913493927514,0.984557100989872,0.987085860005938,0.970875521776224,0.876228797015328,0.972995620316254,0.993522644833661,0.992684629118199,0.993168574798609,0.987208148146311,0.865248287151559,0.636402759433396,0.659843723895575,0.920495998323217,0.993366179694095,0.991936687762636,0.983345897655533,0.62642738456458,0.878517234283297,0.895791602965951,0.871482397788498,0.992992638939381,0.993522644833662,0.984324735132512,0.989024312419639,0.980674934447631,0.993159912944347,0.9930458400753,0.990804090576395,0.838696199547815,0.961377171048336,0.989107173292342,0.970657452951597,0.859413453815767,0.989316625128318,0.986920820448709,0.991214417932596,0.950964514202987,0.974515985566181,0.991594562311729,0.982289612319643,0.992367243331639,0.965135024454595,0.99341577654992,0.993522644833662,0.994662659342937,0.93767112823672,0.993090074030436,0.990027217958012,0.992071139135218,0.994248108612291,0.991986214994426,0.976733340242512,0.854129209042835,0.99324986796514,0.994092652088299,0.986800259848379,0.992795547850523,0.836447100895045,0.989307262665523,0.829984685121474,0.992988650741915,0.863086365527609,0.883950607959322,0.984531819145588,0.84181860402009,0.938124000586837,0.993357346720564,0.985949663277536,0.990588447358279,0.995593374867041,0.970296755083356,0.993522644833662,0.988902413822111,0.994248108612292,0.999637268110685,0.830731267488859,0.996738197424893
"GW3047",0.97467715191537,0.73961563129523,0.892744322134193,0.778474267140951,0.976717740916474,0,0.910403056015755,0.399246891862098,0.407813726118085,0.545548735269576,0.379473889433943,0.903164647131155,0.593654632150255,0.616668044690422,0.994796980277303,0.993091783850698,0.710992004182073,0.996556460401046,0.576153264856371,0.698489107036597,0.593778490893769,0.463904735971619,0.806422407921181,0.991309340295389,0.988538596509153,0.987518086941366,0.95886751998066,0.991855834770662,0.995417354392656,0.99665661465845,0.950615436128169,0.991870984659761,0.991959669667163,0.967936613888448,0.978454068172486,0.995279926576636,0.889551606168125,0.968037382396466,0.923878245521084,0.976130471525594,0.760678480063178,0.871037128497579,0.888390720778281,0.68564123847515,0.794841571609631,0.684146304697394,0.775546555309829,0.99803803199517,0.991983935641054,0.927953191999311,0.924634311082172,0.990624771407051,0.991837157269879,0.970489055441848,0.997061848097546,0.987327141152727,0.763433012012347,0.989266014241081,0.953667267452181,0.935584509321209,0.868042547023552,0.913462109772458,0.991359807887764,0.489692135237516,0.75348231626171,0.86977551098175,0.759743361385302,0.5176180809151,0.993267242363367,0.993036600607165,0.989106181875182,0.547522557042171,0.724729790632699,0.819788986726443,0.678939627471741,0.972735330342015,0.993219990197695,0.625295661030362,0.991076463429993,0.798004888036251,0.466470166978779,0.613026938932586,0.661934169518333,0.464440806446363,0.880157648171646,0.819977739836146,0.367851287996315,0.996853284384424,0.36974053684137,0.649737141017175,0.53254754440632,0.986645036119826,0.955470967026776,0.64203447566524,0.919548104714217,0.672986204199352,0.548098772003836,0.520877181231832,0.571015521516062,0.647662796367037,0.919939886136923,0.973314000360911,0.596607871820216,0.975186846038864,0.777993567040489,0.952800411269391,0.939997071116745,0.82557148912577,0.926938815902,0.956454037289379,0.964020451635668,0.973916624070292,0.900436496636587,0.944270566789462,0.74504800226817,0.717587444935283,0.98962475330231,0.684171169099351,0.955793515061523,0.807823917725761,0.985216418018015,0.991944867287664,0.769397733546803,0.972986566058194,0.83508325988996,0.969893050792509,0.844130389986433,0.957455068447399,0.991672133367158,0.970646080751264,0.641830978741118,0.78178071483881,0.971767450568958,0.998295529041563,0.943028774293754,0.991503102542301
"GW3065",0.986866119522583,0.914665724392886,0.940967959801672,0.906068268050441,0.992461574484181,0.910403056015755,0,0.920533615335679,0.920393275962193,0.915902419089463,0.921241770852207,0.941228060620759,0.908772213884798,0.918113450876488,0.997681469591582,0.996238499466274,0.922766071990658,0.999159599281707,0.920613764960931,0.923567275650778,0.917094869649214,0.918735689954348,0.939250323227821,0.993914292959175,0.977067132201238,0.964783275449463,0.937328848830773,0.996014427104259,0.998465248848937,0.994975610848052,0.94100939211497,0.995832578365646,0.994881915181364,0.972853129342086,0.986731541531068,0.991307401879006,0.946738973835251,0.976546162829589,0.958616466782885,0.982006390745588,0.923476475206861,0.926029536660988,0.928990550637004,0.915161848612006,0.913233842318822,0.914380112034916,0.913601768976884,1,0.993688406599491,0.95369227527984,0.965569518715746,0.985529495605572,0.991812252343939,0.979923126278091,0.999265462024387,0.980219474641676,0.924969676030192,0.994401298331282,0.960417658428681,0.959559792363506,0.934371777057608,0.947661957513308,0.994325331258368,0.915872820961918,0.921088882595653,0.940754843160756,0.927998751702643,0.923307894930182,0.99645993287665,0.997059213361326,0.994752263187866,0.918980067041938,0.924072675712761,0.933151433130124,0.913977607116319,0.982930992154028,0.996513505578391,0.917373432036322,0.994725511302476,0.92128533481004,0.917174281218366,0.745082016772719,0.892480211757048,0.91596741411775,0.361026556168744,0.936893810438968,0.917554050814883,1,0.911658014945992,0.918021687208478,0.936440973172171,0.992848211514771,0.55338375636885,0.933334542862717,0.951360095104454,0.929470212980053,0.940246620208251,0.944781062165488,0.946315193566823,0.935391316224129,0.956883050137928,0.961846421683195,0.947827711456167,0.974166156809565,0.949603496597675,0.973082164515327,0.963747490819473,0.806448606989325,0.95940427809762,0.975942458951988,0.968150349865859,0.984089360934101,0.92998631074302,0.972170012321629,0.943632987618605,0.945549249129412,0.994495315725401,0.928686346712549,0.971643239414985,0.931233172780061,0.993278758356973,0.999758410340037,0.956328080974648,0.981737576765384,0.914042993009075,0.978070747944133,0.927235611201146,0.927098769478997,0.986296945281199,0.954945630260371,0.945855445597216,0.937818499912131,0.986381440743818,0.998731654285197,0.967962423515966,0.996738197424893
"GW3068",0.986402434098926,0.768734103615962,0.904648146268777,0.788427053085171,0.963035246371047,0.399246891862098,0.920533615335679,0,0.176930785739791,0.557816056900969,0.261280132710404,0.907461484241265,0.58040256614717,0.623591459102645,0.997681469591582,0.995233221758307,0.724849960554211,0.998697898308655,0.540911873612957,0.706662787482728,0.454135873767589,0.472668545944233,0.783075221157411,0.987336600153086,0.985795905411839,0.985016301902353,0.964100672460054,0.9919372903395,0.995776435876894,0.998115104297562,0.961752590406958,1,0.99542549191628,0.973190121786197,0.985123021171085,0.993591354611712,0.893045937892832,0.96597767141347,0.925412883105306,0.978248151381564,0.754281697085956,0.868038035631559,0.896627636513378,0.666301611523098,0.791434177157348,0.64688858636131,0.766728941121366,1,0.99612446019267,0.933012692767227,0.933703915638028,0.990848718597809,0.991187147248826,0.9776661678773,0.999265462024387,0.988856304985337,0.747660985053701,0.989449175839616,0.958782929911539,0.949613828613461,0.8765824311372,0.930699318353951,0.994194394156939,0.553663819537257,0.766423747954227,0.875990237640798,0.756850096152839,0.61820275762145,0.995408680270977,0.998871135811045,0.995220360024829,0.555326427006571,0.739421179177917,0.826882000435786,0.684479193210947,0.979395886011071,0.99618320610687,0.635601533236764,0.994223179045569,0.806558705171814,0.373051977138653,0.626417491083354,0.670661271752727,0.463527633128986,0.89175318749281,0.825414163100161,0.39436692232588,1,0.450429830218845,0.640808003501144,0.544151014432274,0.990357131639288,0.968263343429756,0.667715519566732,0.927092670755956,0.694412754031812,0.554860227626784,0.550148256171954,0.58162273577653,0.593240314010711,0.935015444184565,0.978288702151952,0.53773272569057,0.976980568011958,0.770277289101114,0.948498307031423,0.939166309408394,0.826577575949184,0.930213050194799,0.963468353263782,0.963053709746831,0.98010484702647,0.91550736497545,0.949777325582966,0.736504933001824,0.717509226225075,0.993119144656751,0.685278746186108,0.964862255814991,0.811141054617349,0.985002952744708,0.996955235749331,0.782922683538116,0.977993025958931,0.846995634274244,0.971662102555844,0.860599326996842,0.960931270929676,0.987361298389253,0.974073770373082,0.658087963948828,0.792355834177736,0.972238187625147,0.997738125157075,0.951937788775688,0.990329552036604
"GW3074",0.986909231475103,0.766744101992378,0.906403883120249,0.790929014804854,0.958843198202475,0.407813726118085,0.920393275962193,0.176930785739791,0,0.555468537425453,0.282537832477232,0.905346893565603,0.578830743964801,0.618414598179397,0.997681469591582,0.996238499466274,0.698065823866369,0.997407843193363,0.531959043568309,0.681037570407534,0.454970015687688,0.458383717618044,0.774270232290001,0.988587691786665,0.98783654529764,0.986304865948505,0.965014521275234,0.994007560747942,0.996349712823184,0.998688381243852,0.960041634731936,0.998906984369877,0.99356736534507,0.974655099213724,0.984550829677665,0.997158159361679,0.89872395788519,0.969498682327288,0.92222880742724,0.982218724637587,0.756878272441304,0.866786873107343,0.89114150019855,0.667735399614596,0.79590471884657,0.655455127942309,0.764741016689725,1,0.99612446019267,0.928155975021441,0.931987247608927,0.990840684688119,0.994753951998794,0.980766181220347,0.999265462024387,0.988035190615836,0.744454032588184,0.990706857065208,0.958782929911538,0.947789380912972,0.872614823571089,0.928300934107549,0.99450652350334,0.534343159650309,0.769575446488117,0.873912923442202,0.749203943244969,0.629900103026471,0.996413957978943,0.998871135811046,0.995220360024829,0.548126984074407,0.739891339552426,0.820590105402877,0.685960873442825,0.979498394040866,0.996366705813271,0.623914475288309,0.994223179045569,0.804694520809722,0.35105763724654,0.628037789689192,0.662613697320328,0.468921588478105,0.8912986248578,0.827457224665306,0.406401330170553,1,0.466228956056713,0.64506580697103,0.5427222132504,0.990671231585891,0.967062072791101,0.671290365992374,0.925932165232696,0.696299901342175,0.561962582957279,0.562068124872942,0.579481972512686,0.593030296977448,0.936414052154815,0.978078482486933,0.530560798926169,0.978176382660688,0.778011852091224,0.955909233552455,0.944985088022989,0.841091836606869,0.934425078750729,0.973878095341503,0.970380452763344,0.978457818257389,0.914172184964482,0.946085828758534,0.744169343798389,0.705801123207475,0.991901762557561,0.686621152254417,0.961691707502267,0.823710612041144,0.983512556410627,0.993585521669442,0.773387496101745,0.97675319643549,0.852510838061206,0.97112106037668,0.858838266302317,0.96386604665554,0.99092810313922,0.978377087735827,0.655024609073014,0.793180829661223,0.973045875292581,0.997595365613728,0.952093982528566,0.992616224386258
"GW3077",0.966862856418167,0.440764147806577,0.898719984553958,0.744342009987066,0.973850954323716,0.545548735269576,0.915902419089463,0.557816056900969,0.555468537425453,0,0.538327913188213,0.902014183713815,0.614854902292368,0.627806019639046,0.997681469591582,0.994815039303922,0.541374821594464,0.999510816535223,0.589359587730346,0.670568257612707,0.597491402035023,0.529645310080042,0.823915722481978,0.990021623833153,0.988135733661352,0.986496332729839,0.887828009194375,0.942625881705198,0.996634171593019,0.997540963526998,0.953900300938203,0.996499057438541,0.994155919339048,0.973895943125523,0.977493801258821,0.997499326741815,0.894385537978945,0.968288192173424,0.925346268169126,0.977021057382723,0.772412216385722,0.857490030457549,0.883201447256607,0.700431873507229,0.789998781723283,0.721742221600425,0.76604318813983,1,0.992623517631211,0.934548463191521,0.928846531316059,0.991010938838782,0.992479030431906,0.97967779386729,0.999265462024387,0.995947990960345,0.527225391275457,0.991818329197161,0.958013491985944,0.945740751460132,0.873285363429111,0.911029900919181,0.993236950926108,0.534682998054872,0.774302150194338,0.865777790785966,0.729444432648769,0.730100582005964,0.995052435606299,0.986106286905176,0.995220360024829,0.590809166116541,0.745906335490143,0.829171643620562,0.709980862540593,0.980202414888264,0.994759745944519,0.639206765816662,0.992813460818182,0.800953106422082,0.540051860062247,0.641556769257712,0.690686645547997,0.603696071058344,0.8873096548342,0.828975904234174,0.614351113915914,1,0.558099067508355,0.677042182573666,0.695433964514247,0.98852217915817,0.967237747463891,0.728234227579999,0.921796033835325,0.72431310806647,0.687952271620299,0.708320218686824,0.708595284937456,0.692026946072747,0.918408377093389,0.979504361091654,0.69735539828455,0.976382660687594,0.801238886659962,0.954945106026,0.934777690439675,0.81954002146536,0.928818845513133,0.957179309117643,0.952399898331668,0.975527051753905,0.849960134468198,0.94683118435388,0.748383698383296,0.793832808540175,0.991152176562143,0.751189086206297,0.963451564093624,0.842926582999989,0.990539751657916,0.99703195232662,0.812561617683236,0.977144462030154,0.836501001958958,0.974216683492242,0.86043423262695,0.957463788059225,0.991269270519356,0.954392569312264,0.721896653551303,0.794675861211982,0.974430666701717,0.945446851075289,0.952152851803296,0.99372250270748
