"","GW3005","GW3010","GW3014","GW3018","GW3030","GW3047","GW3065","GW3068","GW3074","GW3077","GW3078","GW3092","GW3107","GW3108","GW3119","GW3122","GW3123","GW3124","GW3125","GW3127","GW3134","GW3145","GW3217","GW3232","GW3233","GW3234","GW3236","GW3240","GW3246","GW3248","GW3250","GW3257","GW3265","GW3294","GW3314","GW3320","GW3364","GW3387","GW3389","GW3390","GW3405","GW3407","GW3409","GW3410","GW3413","GW3415","GW3420","GW3430","GW3443","GW3448","GW3479","GW3487","GW3488","GW3490","GW3491","GW3496","GW3523","GW3528","GW3543","GW3574","GW3576","GW3582","GW4082","GW4094","GW4109","GW4146","GW4147","GW4187","GW4191","GW4193","GW4194","GW4229","GW4246","GW4249","GW4253","GW4283","GW4284","GW4285","GW4286","GW4293","GW4298","GW4299","GW4301","GW4305","GW4310","GW4339","GW4340","GW4374","GW4377","GW4409","GW4420","GW4431","GW4433","GW4434","GW4436","GW4439","GW4440","GW4476","GW4507","GW5796","GW5831","GW5850","GW5854","GW5871","GW5876","GW5878","GW5888","GW5889","GW5894","GW5907","GW5910","GW5915","GW5926","GW5930","GW5936","GW5943","GW5967","GW5970","GW5973","GW5998","GW6015","GW6016","GW6018","GW6026","GW6053","GW6084","GW6114","GW6134","GW6139","GW6141","GW6169","GW6176","GW6186","GW6193","GW6197","GW6202"
"GW3005",0,0.623967560963127,0.599715074217405,0.649084441736878,0.338720500586048,0.676922965818079,0.741462610790492,0.66652451828564,0.698770811322733,0.731254658548451,0.723324567822844,0.723825163178978,0.734850373596367,0.739876185950577,0.623216466104699,0.619916315953958,0.635551655888789,0.654307203954503,0.643918088447255,0.627571148822651,0.603075032173767,0.74889612607053,0.781290472862079,0.843928023516618,0.83012408699843,0.7858788107355,0.83408897577096,0.850453281445877,0.796729190246829,0.779574735932812,0.748835442207428,0.57776063184534,0.616916759230627,0.640218133006092,0.425349316496708,0.911512632246029,0.757188892946403,0.674859833196792,0.801577510017757,0.803715171522905,0.770021733659029,0.784185265265563,0.771108401160864,0.811552106805336,0.815562711567373,0.767343703698713,0.785498672713105,0.929842478548743,0.574439935837227,0.717311352322104,0.788055307340233,0.857279409485521,0.634227972533556,0.868737823909763,0.891199448416982,0.670159242166225,0.739749115008108,0.60167863961155,0.628913818347548,0.727143844400405,0.799849383535498,0.773519082918677,0.603741438807246,0.758411786204099,0.785431680845284,0.9278288392847,0.745686606138695,0.735023830464552,0.600827310384813,0.462841125774123,0.471549478848418,0.591314267415579,0.761625065675304,0.801148276847079,0.828069319014231,0.444274581259346,0.612897297309603,0.689285243461536,0.618524550141429,0.799410632715389,0.737752562668455,0.699848546795583,0.703302200590931,0.734266138640757,0.799352590010803,0.767810219289685,0.710451734086616,0.599379596914534,0.67383897149343,0.709809205272621,0.725890209184215,0.601725256324685,0.762475204667933,0.678470728284396,0.697577361259403,0.723038115183116,0.628288439401343,0.712459322195324,0.69440856639444,0.742062781601653,0.665568285193737,0.798301385937178,0.723826686325302,0.881057373227042,0.643907927288407,0.81350521969844,0.726401238857815,0.728131385136256,0.758564844649634,0.828579124095185,0.870954938614097,0.576642496573402,0.753497129995158,0.789020537335718,0.730109363789435,0.77763992386604,0.605198094369994,0.681983561693799,0.52919862514604,0.751016654688017,0.587433654029015,0.567595536326167,0.670955024399204,0.622052172568618,0.679251935830251,0.756280988564469,0.768677875961677,0.713374779054287,0.89157551333039,0.795667683439826,0.723525603226302,0.777567688342509,0.850228244010011,0.818598868285,0.57027323004578,0.888986916156191
"GW3010",0.623967560963127,0,0.585640047123871,0.649033896569573,0.701920532116689,0.626124893269472,0.748310412882728,0.738821239614636,0.703234185595675,0.638359125315005,0.747579221696785,0.787668488351969,0.673474658616145,0.726221957286602,0.761451642168588,0.755441762847418,0.560100966580415,0.771069415696764,0.588069945422755,0.636358912455674,0.657644759141893,0.680483248636044,0.738584190256579,0.878878693397238,0.880018592253912,0.835269711799572,0.75868894195501,0.89515999860862,0.863378015074795,0.858217095585033,0.719641127835676,0.755012220861231,0.708416916614186,0.6874811050859,0.738412187205195,0.913408172618067,0.788712619779718,0.767836641483389,0.789711833831857,0.843884676587409,0.714216100479538,0.723533245132005,0.703412811031334,0.730075689944134,0.721373927017111,0.692513115227895,0.718477253817954,0.963539561877362,0.763548037215893,0.727771115681626,0.825179716897528,0.917142236073945,0.797861588424033,0.779097659080913,0.938075906750276,0.710659371317597,0.732812442686619,0.693980574055693,0.774323780187948,0.730287168382914,0.750748253041034,0.747405500037353,0.733164942265644,0.673746119788271,0.773270627590969,0.892377643881529,0.746406046684277,0.733089541868279,0.723295632201816,0.741826036016487,0.710576555853633,0.552660864236196,0.723649606969247,0.708306396002631,0.730957359185234,0.650966162890228,0.737993041217753,0.606731283672257,0.745029245221505,0.760710877925188,0.753378961422424,0.643587910921257,0.703267780431057,0.649523619031138,0.755117977375225,0.773739331392362,0.638126621583416,0.75323333361129,0.569612878894303,0.670553829834475,0.627236440333023,0.725910814673188,0.750868073730061,0.654106355967304,0.681544710459046,0.642533779309834,0.667283820685115,0.712613790459805,0.61062753980048,0.666787380813516,0.740033344726427,0.835738787152677,0.760148729835727,0.924891723755595,0.691006821338253,0.833812945047367,0.757583027847312,0.66250071134141,0.79696016601759,0.740343621259597,0.876589550531311,0.697813501793046,0.748291323516805,0.837409719326134,0.613500612555177,0.698837120267362,0.739071056984122,0.664149247211552,0.6967515626323,0.716544470997181,0.745714510816095,0.692685805198581,0.759287555440529,0.739007800335518,0.64136397377895,0.842715158693878,0.746817400220459,0.756003022959506,0.921690293502311,0.856623214581189,0.749050007070803,0.727495849235383,0.888161198478945,0.909088076547383,0.710913063368407,0.912447370942599
"GW3014",0.599715074217405,0.585640047123871,0,0.595312663241208,0.679195650233742,0.596631058875949,0.710199174889253,0.653199048423572,0.65308250316856,0.66392132709375,0.680277336226164,0.758501470684062,0.672970619223356,0.669182496879304,0.761797520708484,0.758782104821655,0.596598156462239,0.781248485485857,0.607687071209431,0.604040419586319,0.589753804377489,0.657780076772362,0.709116573679244,0.859669804782539,0.851585813183812,0.794557591204339,0.785344968687666,0.876430428445581,0.836148054033283,0.815494000136566,0.723981968927491,0.75616559100043,0.721527028467888,0.692008263456969,0.699909030223995,0.904212990710048,0.722941200949722,0.742965868771895,0.799895662700725,0.818152474944194,0.738887715536387,0.749774127645888,0.7308247898488,0.742298251599046,0.748015744828749,0.681033967225668,0.724623549773493,0.955880393559186,0.758913770946584,0.71348981163018,0.767832630322709,0.884009016959205,0.766482016915917,0.815552557255658,0.920892978195532,0.729171094154602,0.73407282177774,0.686035470653883,0.729358329120719,0.732136897572931,0.768546974487354,0.749760449408838,0.731078540577884,0.65889851976929,0.704577874714782,0.893353750311754,0.693771796112451,0.66628222770753,0.717193156580004,0.702046687852912,0.680790335011399,0.609797138673065,0.660231790382486,0.701880873757789,0.753925833032629,0.578515686737352,0.730803422865207,0.614687690453575,0.738229263690053,0.728211833794656,0.680461556587997,0.623791477086021,0.647313662344236,0.6350677455411,0.747744724576378,0.675448831504261,0.638907152126716,0.743012939224335,0.597066737627885,0.619962367857058,0.668367718908354,0.720644100699072,0.743051688399489,0.609390684041058,0.664051784576313,0.671279374713342,0.613028304845164,0.62044730954963,0.633221316514173,0.673251785314695,0.722825459747158,0.802070651703099,0.716348221750493,0.899332805988152,0.651331384071316,0.767877102589861,0.71112800913424,0.687183796069077,0.757527952135908,0.75776157658956,0.865822811031268,0.688702465228413,0.694122765797047,0.782626149313794,0.661706508090949,0.682078615257602,0.736816017047264,0.607184373700964,0.690685216132794,0.678483015494594,0.75881453022594,0.668269687536017,0.705899638657253,0.724100312272265,0.647541530945028,0.792713336766625,0.732113735452609,0.716813270912263,0.899545630180822,0.820950285058548,0.670491528618858,0.706464627693938,0.856981618704242,0.898712697911831,0.701280142371781,0.902788933112567
"GW3018",0.649084441736878,0.649033896569573,0.595312663241208,0,0.722048007346571,0.580848191175452,0.678238464564556,0.612930931235131,0.614666628525727,0.65144205734404,0.602738610381933,0.710357475074798,0.628959644116779,0.60306735643051,0.795448540601658,0.795282443608796,0.656847773568648,0.821746542002042,0.644479132209031,0.636202272925153,0.572917160892721,0.637164080659866,0.647720139407382,0.815789488411352,0.814356038812215,0.754551140171825,0.770379031313993,0.852562580845966,0.800217963065261,0.778798999557538,0.708153407486062,0.78631134229394,0.74692693269866,0.71782979086971,0.745085501841277,0.878838922679143,0.675837388094796,0.697566068948559,0.757242680600758,0.774333887882377,0.706920133282253,0.718349563244228,0.71794401261843,0.731911203115689,0.73924731618603,0.700733451626533,0.699321186177235,0.942588151426716,0.781055031062281,0.676305159595986,0.698400122334106,0.852972275447622,0.753637759637721,0.817726699295312,0.90721845085126,0.74516995697861,0.688654589649599,0.709010287019724,0.708381357624827,0.713671400872233,0.733627461836682,0.734930688756593,0.757403284489932,0.633653464618013,0.659636373563424,0.889293020323527,0.649917861599695,0.678481602491152,0.755353896791238,0.746761679795341,0.731526935827581,0.629183146541208,0.653186146904222,0.687616696240776,0.761670415074136,0.638482541989774,0.760591552798347,0.682094846003154,0.773893743811449,0.704699637930676,0.630023577532891,0.640854159209722,0.651112606934676,0.624421624539544,0.71997104547428,0.675141426086007,0.626867685251099,0.782215080919943,0.631426162698014,0.623229528816959,0.68788223409988,0.753599248035047,0.721910292544212,0.623801539495568,0.641270973157618,0.702476039429667,0.585513289076026,0.612515832908053,0.667449375843439,0.640893184379629,0.67905832646118,0.736083290762587,0.689809675177832,0.864982275525985,0.630034254419505,0.7580767986444,0.695316614028553,0.678427032709296,0.702010413746795,0.766676432155251,0.858654940489266,0.716767325137682,0.681149326745089,0.763863928324451,0.697893473006474,0.689883482861895,0.782465849790312,0.597170411798586,0.706265442760261,0.657333130995696,0.783327226805959,0.685682267298738,0.70406232677986,0.761797490771432,0.633743730150946,0.761421517946888,0.699436335019284,0.717451367878367,0.875656952504258,0.776688481565409,0.609553917832475,0.679164099033011,0.82890069524963,0.871701412438373,0.748576840828478,0.871456996457065
"GW3030",0.338720500586048,0.701920532116689,0.679195650233742,0.722048007346571,0,0.727616201256695,0.796539327103635,0.690421517516335,0.715946930068002,0.78253645472064,0.789362394080945,0.777713069375769,0.806457272980121,0.801455663790668,0.572594494986848,0.587091960204376,0.691143331673776,0.607680435811603,0.696782527450994,0.684395877591576,0.673475837355813,0.800862894572516,0.820277742705822,0.86268555738843,0.834534532092503,0.801240552517881,0.88164601858753,0.869859371232572,0.813574352494244,0.814031113359546,0.786260871828075,0.506648065966083,0.628479790096298,0.662966040729303,0.37371507879532,0.902677505140691,0.813751415576584,0.733273978420481,0.853067155073438,0.833714276508278,0.816447905791679,0.845529624162364,0.832909615844937,0.850748700813343,0.857798227280889,0.814813632778358,0.825836450169867,0.916399562309024,0.500050845456489,0.758844589696889,0.823623450769966,0.871454511421139,0.574388542932372,0.889776077385036,0.910125072176755,0.695685195403051,0.798914495927413,0.610942344677768,0.614277427050869,0.768043739055011,0.829470552498449,0.803420587779462,0.576055252409429,0.823335081296777,0.830327631407084,0.950995394114848,0.813350514547725,0.815040741385286,0.603490408219868,0.366364328013816,0.473099856457931,0.664252826939526,0.825127306515992,0.854888031610538,0.857620287000571,0.474562942843153,0.588613756292564,0.744852618690618,0.608826878225216,0.850993061901959,0.808660314082129,0.753435649084979,0.746830913953618,0.785849105268998,0.837509209376355,0.820999829967772,0.767016915227715,0.55350827607801,0.737566156339715,0.753698838645205,0.757783898106727,0.60091054035423,0.789916334574019,0.758715795515727,0.764575982672146,0.764122309564513,0.696625424749021,0.773151447085981,0.743000659772764,0.790762096436994,0.692428958515208,0.813973972856331,0.777234438544676,0.887109060899661,0.686130769889266,0.835952710388797,0.769378748881321,0.773000027411015,0.809782417715124,0.858986987195636,0.886093056932218,0.595862168143639,0.798958784733761,0.816426077327356,0.771054978028286,0.821387592126052,0.588113892833411,0.720491611577288,0.543347750235042,0.781514188095464,0.528429828992531,0.571397797891039,0.715394220537646,0.629062454200044,0.724102168566312,0.784822756715866,0.794860977971284,0.755514003687128,0.90253405704054,0.810415614636709,0.786606243238397,0.82635925186278,0.886263779553527,0.842967790463925,0.549214948429769,0.905410252786699
"GW3047",0.676922965818079,0.626124893269472,0.596631058875949,0.580848191175452,0.727616201256695,0,0.711931049299364,0.59038054236167,0.640276328199988,0.579910053391505,0.583410034107118,0.716712360533256,0.641976086444095,0.592065348417818,0.800112414814509,0.792637261133131,0.617005219459341,0.820654702698925,0.574327650240551,0.57496854811011,0.567699640931245,0.582260813456981,0.676781705047001,0.827590760070303,0.823001277539948,0.749890333514738,0.787068929791996,0.831768221253329,0.791998313493215,0.797132070995282,0.724346412873028,0.805284531012235,0.753391728228612,0.742587623239563,0.7254093640663,0.881603661288579,0.668930514243991,0.726026086473268,0.744882885421252,0.811603887275155,0.692212997583363,0.696993077710645,0.722788562863224,0.718292186090827,0.725815861333909,0.684618231234043,0.684075821660506,0.932321918319506,0.800927980906996,0.735801179614821,0.72033778857515,0.851496901244986,0.771942887175867,0.81304709313761,0.894800598048347,0.765674511299818,0.661739188340188,0.735627169345209,0.725311109550487,0.726568020229033,0.743194389812623,0.739958295849863,0.773095895192498,0.577470245303582,0.629956584033889,0.892418153028228,0.616552643171934,0.654126382877332,0.755700705792385,0.783261393842033,0.748459313844222,0.630819355740142,0.654564780685225,0.699539997604383,0.774983632163033,0.655272256080535,0.763966146227071,0.66240176148359,0.777574510273122,0.68912839378073,0.63060748543835,0.63527085385647,0.655210135938335,0.631571242490942,0.739635395264259,0.650396639170653,0.613123827388076,0.795882587275186,0.60635973521759,0.620419318508294,0.686196899754962,0.751792987475691,0.735836622605283,0.622624059533069,0.653237463257446,0.72157274928903,0.5665169506984,0.598503537658468,0.658303644274005,0.631612420445911,0.686725597031685,0.76147003425244,0.647913162111867,0.871493717485593,0.570003201184941,0.752426221488489,0.731183210587158,0.676246802422424,0.709076977426778,0.771044273637935,0.82416498976277,0.713391076840594,0.648838452661222,0.741315573901859,0.698565014823402,0.66696787327366,0.788523725194425,0.608136755164136,0.726245546180841,0.627674470317005,0.803583597936385,0.702164434954715,0.68564774733867,0.765209332392888,0.680140646578568,0.761443540649128,0.714004875621179,0.743355794737623,0.887937279432329,0.785678019750426,0.657199475769685,0.704260998083479,0.829746365447482,0.867580625182865,0.732258582159863,0.888545478468905
"GW3065",0.741462610790492,0.748310412882728,0.710199174889253,0.678238464564556,0.796539327103635,0.711931049299364,0,0.717646606019474,0.721964727964894,0.732295096623589,0.694849819299225,0.701166619683352,0.744519299550937,0.710773604855435,0.858548124592897,0.854242184203785,0.755303002257175,0.868032638547316,0.744866342969109,0.729325449478346,0.705876752003712,0.726428330228148,0.68744492060532,0.827006151847889,0.809654016644396,0.728004819736392,0.760620967253191,0.839908207431105,0.815620686729372,0.753053009975347,0.737795426954009,0.856739117510507,0.803681227268769,0.768462825298236,0.814636978635432,0.880155096365241,0.721728946689092,0.740682292318606,0.798969459036476,0.77624404617252,0.769043407621858,0.767322185405458,0.75541910468335,0.766351022822564,0.771790804690537,0.719278821856439,0.731629056972884,0.929924118564781,0.851409675547382,0.686229594590434,0.75242139089976,0.858986311580429,0.802457373811035,0.819159372606631,0.895444283650559,0.782688657738608,0.761889125820725,0.778578550265342,0.752531491054645,0.722710151408499,0.764859840478454,0.760220352993291,0.820205279660766,0.714199302869328,0.735512597429057,0.908676068254394,0.722842861867602,0.669958406505125,0.818903411318013,0.819143014741046,0.804468648029572,0.722660368519501,0.721809605411971,0.723315244218513,0.761722019314947,0.741782371314232,0.830873700357861,0.756991166511077,0.850681007475767,0.760107803433356,0.665586529062063,0.707709622092876,0.742916375965,0.69381818192047,0.69492605493896,0.741903611810794,0.719051795296273,0.84103924351085,0.740588513488157,0.680235483893738,0.759323336716373,0.819296373163686,0.680269922440622,0.694659645774352,0.733218562189415,0.756066799782395,0.712404317875619,0.68479841654133,0.739454880485334,0.719042507778244,0.736887042982515,0.755411224909005,0.760067482801227,0.879447107495493,0.705189860278794,0.806814642169705,0.730190080082138,0.700634591762618,0.73888315917193,0.771494279183579,0.848357595077501,0.792326089098684,0.737414136478781,0.752944920562172,0.767184900964041,0.713319782830186,0.852382165370909,0.70038670205437,0.803521717247301,0.682067893339269,0.854538012190258,0.768098519999315,0.733304158831498,0.84772784137611,0.72817335539714,0.802124959269414,0.694847443250079,0.695705463274107,0.890581436898629,0.794798292486845,0.703218551699008,0.727245588381055,0.836502994835564,0.863413716427224,0.819549144614997,0.889555387469098
"GW3068",0.66652451828564,0.738821239614636,0.653199048423572,0.612930931235131,0.690421517516335,0.59038054236167,0.717646606019474,0,0.521806587002244,0.636143564333957,0.519539680975191,0.685248550418927,0.655869685445594,0.599264586086436,0.802038058855427,0.802073380600822,0.686984121829208,0.810089347041403,0.648253510411908,0.633558229817541,0.506500364480198,0.623113257523156,0.691098452038549,0.808928186256245,0.788545314764197,0.713734497964208,0.811869626193331,0.826431120778555,0.783820203738442,0.786509056657973,0.747932521221279,0.781540083186824,0.760661953840489,0.748013215192776,0.746878838071299,0.872109369152084,0.627840611999961,0.651397341952979,0.748001597875867,0.769415568967547,0.719356603177408,0.742186571390023,0.751654839323117,0.757613673828081,0.766482941051627,0.732074384834678,0.72576051481215,0.922737421618023,0.775557913880522,0.702822725430694,0.70225162084703,0.803361913158404,0.735825488264368,0.849507762242024,0.878021537667438,0.784579054569562,0.683079407251329,0.754707403865917,0.692134704021244,0.75485643880884,0.761211575180543,0.753843110830086,0.77683561266193,0.644505648716898,0.634506233459092,0.893233081466405,0.606700137770072,0.630553678674034,0.756708543573024,0.779916262719233,0.764482903980132,0.67627637653295,0.666570934902802,0.740919177825084,0.812601271784258,0.627031729372125,0.757086974411978,0.727927186236431,0.773177999867128,0.717035523952795,0.589329988442211,0.681940020473614,0.67889097222314,0.658848168483911,0.744874353488676,0.620276958379512,0.641332106617457,0.800214871270113,0.682708247579371,0.624256333254147,0.74700180596595,0.754048306717002,0.752496133292074,0.686855670945102,0.706831259888643,0.760086148003017,0.612983677797497,0.64409589077308,0.698270605371418,0.698251699606022,0.681358729753967,0.73698854317147,0.631111009063563,0.871133756972913,0.622875691735131,0.743609696701998,0.706755820842722,0.73755657234525,0.714179022680372,0.812367203703867,0.834334950809728,0.71703731938888,0.664956936495631,0.708263877071507,0.744036804489566,0.712926190642892,0.793749811706214,0.621462009556,0.731112035118404,0.654631466941392,0.794736238557373,0.707400301092191,0.644776842900901,0.776094473621874,0.715665243645721,0.744163313871791,0.751945985910879,0.743318022618174,0.869894991406561,0.762843865984823,0.621132544245359,0.745554670701393,0.79703635763038,0.831343570549529,0.748047280761464,0.861894596433622
"GW3074",0.698770811322733,0.703234185595675,0.65308250316856,0.614666628525727,0.715946930068002,0.640276328199988,0.721964727964894,0.521806587002244,0,0.653756874886906,0.561846902979245,0.736618161815755,0.637709927089288,0.668856529037731,0.789740090526651,0.785630441304163,0.657916860096352,0.813547146390946,0.635145066137872,0.632523688917876,0.551422911153787,0.655700569841738,0.703576495874646,0.834558652904593,0.836641265334255,0.78528892167833,0.796086296824915,0.867092538393099,0.824948341303887,0.821205709147881,0.720831225725536,0.780579754830457,0.756374898365054,0.728273590268101,0.780384882644013,0.890152415998655,0.68217920185181,0.714428178270762,0.769303979657717,0.813334409669137,0.744266686773581,0.742111895383031,0.753159327966153,0.749046275471421,0.754238717852918,0.739911407473604,0.718571210499838,0.938823821243353,0.769256274529258,0.69750522137145,0.718490420402817,0.850552668622148,0.770649289459779,0.837146348346125,0.90706990381443,0.76633258903381,0.715950301595596,0.732305257072849,0.755295374952127,0.753535216671017,0.760341348261538,0.719189953088312,0.755506937684534,0.646677656328749,0.634892097643513,0.896495570605349,0.658754251409109,0.690457802994242,0.745433851795634,0.783157143364817,0.750314477833313,0.654353022634125,0.666715810761589,0.75666330846449,0.79257166591624,0.677154965156912,0.744332441459923,0.694117456895642,0.766493435645329,0.740101866106103,0.639223662704918,0.655220273953854,0.666375688313327,0.684900810940801,0.772106214623867,0.674760439793784,0.669976273218367,0.789011878327849,0.641997277585093,0.619079245366712,0.703941428439292,0.74675056703837,0.740389162735675,0.666174487719289,0.702527470928736,0.739015600828493,0.613950409972182,0.646475702931746,0.662925362250633,0.660754029273089,0.707093674035858,0.765306266914703,0.680111660193184,0.884018316471361,0.638664481725254,0.754446742852261,0.733062237279622,0.729610777436772,0.70912046013091,0.806769661247942,0.851357892111826,0.709226865941747,0.708174040255032,0.745791517911632,0.707659898354987,0.692153187290865,0.770074080771313,0.60170434714594,0.717402005557876,0.642518851908397,0.780392915926637,0.703125172593466,0.693363214158365,0.76058324294492,0.679005039911395,0.778548616583906,0.750413002986381,0.746766637210834,0.885556627427951,0.802317901844598,0.629448040952264,0.739118692118727,0.826548476300325,0.869715637507232,0.740000167049928,0.880373250265213
"GW3077",0.731254658548451,0.638359125315005,0.66392132709375,0.65144205734404,0.78253645472064,0.579910053391505,0.732295096623589,0.636143564333957,0.653756874886906,0,0.616918222523221,0.702409014320055,0.632785964684273,0.59253988364369,0.866126656660353,0.865839021317404,0.630593805544788,0.88413837215199,0.641307663152277,0.611095652279201,0.643704610818337,0.609756015761921,0.711509809211374,0.834247430945719,0.8658707611329,0.764430449255668,0.781160294945522,0.822877100502651,0.833960062509958,0.822807164278517,0.765937330811903,0.866208173981306,0.828220448503115,0.779443100495937,0.796261994380212,0.887278156347496,0.701200900802154,0.718209453910696,0.755229336027815,0.799160950027936,0.695738044426955,0.686184806444896,0.727170600982391,0.729236857945884,0.733042042124116,0.685248804290282,0.712664414450731,0.948354494008285,0.859479508094629,0.713031140574798,0.733063870297494,0.868496904805153,0.830235758845846,0.821564466538778,0.915263441031625,0.803819369677373,0.603776421655132,0.795912389331743,0.787798241374873,0.760643372661908,0.768885906620814,0.744548179768192,0.841802809619777,0.60157759435016,0.675531771150394,0.88814949230726,0.612839427372004,0.652490540833163,0.822427500602974,0.85366631625061,0.83229782846069,0.652807159150063,0.670422361665448,0.728891600484794,0.795258747009015,0.749283092385884,0.835273226468158,0.706144216534913,0.850125338022038,0.704344116588773,0.639132210918926,0.666061221752059,0.689657545095208,0.678784594372302,0.753690249538126,0.71237283594473,0.664347929833807,0.862566790199828,0.647458723912977,0.653381064711709,0.700405264364452,0.829689020953669,0.780493485434586,0.67901345221703,0.71709971442754,0.729507335091308,0.650467521751808,0.663471396822943,0.698910721281248,0.65023501475085,0.728293876356306,0.780571946689013,0.676852321002367,0.869147285734138,0.700524568633088,0.781642933549192,0.669389002712056,0.687014018690407,0.712180441276496,0.759504528571263,0.840760414325547,0.786670100738122,0.592438080990852,0.732349434084799,0.682666211428199,0.666565304273176,0.839633567999471,0.637012039277947,0.790948564952941,0.673604862563296,0.840303080529265,0.785991963128032,0.762175931724671,0.830610011537835,0.726239077534164,0.8019880409647,0.778308235371798,0.775055083945127,0.895538947534513,0.78664785871002,0.681926583877086,0.687558007391418,0.842432161814393,0.879192302735132,0.825148828075388,0.888638069036216
