"","GW3005","GW3010","GW3014","GW3018","GW3030","GW3047","GW3065","GW3068","GW3074","GW3077","GW3078","GW3092","GW3107","GW3108","GW3119","GW3122","GW3123","GW3124","GW3125","GW3127","GW3134","GW3145","GW3217","GW3232","GW3233","GW3234","GW3236","GW3240","GW3246","GW3248","GW3250","GW3257","GW3265","GW3294","GW3314","GW3320","GW3364","GW3387","GW3389","GW3390","GW3405","GW3407","GW3409","GW3410","GW3413","GW3415","GW3420","GW3430","GW3443","GW3448","GW3479","GW3487","GW3488","GW3490","GW3491","GW3496","GW3523","GW3528","GW3543","GW3574","GW3576","GW3582","GW4082","GW4094","GW4109","GW4146","GW4147","GW4187","GW4191","GW4193","GW4194","GW4229","GW4246","GW4249","GW4253","GW4283","GW4284","GW4285","GW4286","GW4293","GW4298","GW4299","GW4301","GW4305","GW4310","GW4339","GW4340","GW4374","GW4377","GW4409","GW4420","GW4431","GW4433","GW4434","GW4436","GW4439","GW4440","GW4476","GW4507","GW5796","GW5831","GW5850","GW5854","GW5871","GW5876","GW5878","GW5888","GW5889","GW5894","GW5907","GW5910","GW5915","GW5926","GW5930","GW5936","GW5943","GW5967","GW5970","GW5973","GW5998","GW6015","GW6016","GW6018","GW6026","GW6053","GW6084","GW6114","GW6134","GW6139","GW6141","GW6169","GW6176","GW6186","GW6193","GW6197","GW6202"
"GW3005",0,0.0913330642208562,0.1180297331399,0.116969066394423,0.0212044797991182,0.122771748977224,0.128477593433915,0.117975472951289,0.116122079916114,0.117039500403424,0.133285649234908,0.11641608050758,0.114043517391893,0.109138861522795,0.0615777544544918,0.0689919728265964,0.088167341409006,0.0777771887588377,0.104817355246134,0.119141422532229,0.121291887153332,0.110856996631322,0.115699462613935,0.13570958694189,0.119188885334018,0.127302333769367,0.122951047573268,0.128621301655325,0.135298930920545,0.128438621320696,0.114572288819889,0.0885225290440126,0.074350051266747,0.0697905562923527,0.0361064536806266,0.119006989118527,0.121348150670216,0.134389063597638,0.115494657657968,0.120373296268565,0.111062399922743,0.122914076526356,0.12215692508691,0.115860831567898,0.117609711969409,0.11598391124604,0.121461626921981,0.12944969993816,0.0709577531560317,0.113738128460023,0.128748147446973,0.125991157678334,0.0929393772607985,0.118408786640301,0.130374636427617,0.0742900240793034,0.124980551176788,0.106823220247503,0.124905294431462,0.114517202176311,0.118570722191302,0.12305173729979,0.0878581915124044,0.116238238998798,0.108500108602356,0.112049745203874,0.111262285791232,0.125383809775321,0.0683806426184626,0.0394146873688287,0.0356189053533136,0.101877914645279,0.109895107471473,0.107490893799002,0.106648243852116,0.0455943983477806,0.0721177125006122,0.0893375896037684,0.0712073541563603,0.116198572817389,0.121609784136221,0.107324125475698,0.117191054381734,0.113124636297493,0.123810685054433,0.108370029759466,0.120558838187821,0.0699628672107248,0.116840096669823,0.116031325300686,0.114473293301412,0.0672522946381116,0.12933323326669,0.115461982225273,0.118808503499997,0.0972823914213266,0.120816520972888,0.11573616462422,0.116498686474356,0.122348209322392,0.107541534693014,0.118615759499767,0.11602992449919,0.128589908488686,0.104982311876528,0.120186083314338,0.118774299755712,0.112861434389643,0.116406000075465,0.121199173236745,0.124822860776969,0.0596678857594937,0.116477620740426,0.119064957013561,0.111638017338741,0.118840349485012,0.0536160245978257,0.114347454156443,0.0487399468749524,0.110044353469606,0.0734924988515665,0.0746056862158243,0.110121362096125,0.0564983399408922,0.108925544723885,0.134327507160177,0.117249742304713,0.121004812009826,0.122867349397846,0.132470852957621,0.109173301059541,0.112036385778192,0.116399192164087,0.111693843263616,0.0609630637684628,0.118045626232557
"GW3010",0.0913330642208562,0,0.0787125386519046,0.0516650298187089,0.0872892112455067,0.0727131509620925,0.0877960446821561,0.0771966667014679,0.075774420314413,0.0432339683752171,0.0895602623790291,0.0701115868109421,0.0447470811014117,0.0476900632949757,0.0913499293597516,0.0875084756882013,0.0511331100103014,0.0897315502574393,0.0705973315322655,0.0546302429705075,0.0789008627895378,0.0669493621741087,0.0576318756023914,0.0987209018301905,0.0838908188461588,0.0900875477897516,0.0694880418862253,0.089999139615731,0.100656367662347,0.093021716663491,0.0629145464488565,0.0739445883761383,0.0792264422055725,0.0693289839127159,0.0909733225691958,0.0820334953463779,0.0791277868472427,0.0936751603798172,0.073106572312085,0.081098912979593,0.0616277763023957,0.0753204337519598,0.07519919539312,0.0604967295039373,0.0667999465355439,0.0575620720965974,0.0717600192806613,0.0953107492424035,0.0790710532746501,0.0649552408998201,0.0888224617056172,0.0910461322728119,0.0764438686558385,0.0812254917690751,0.0962476841814071,0.0617055511520803,0.0656501628950679,0.0739315510912272,0.0854204441377993,0.0757646010900636,0.0682382682322214,0.0833604144068875,0.0809581785657143,0.0688337549680888,0.0637860717073003,0.0753371557108671,0.0627281418395286,0.0872286783687626,0.0913192182884142,0.0912346549243781,0.0905293211436116,0.0523708728188021,0.0635176753667515,0.0660022594756469,0.0612738826404632,0.0804710520175965,0.0809616910170149,0.0528817942880368,0.0871715306299402,0.067070574215145,0.0788751304685047,0.0442809097522846,0.0520623692110473,0.0542667931372047,0.0862244238391527,0.0696378987057259,0.0761842747310172,0.0848595055697559,0.0618209086552063,0.0559179299028903,0.0600451804701154,0.0751658891565778,0.0853405199015019,0.0566990845653356,0.0776871011339371,0.0580845516794322,0.0675534829558444,0.0682548103285699,0.0588781918153411,0.0695309786403949,0.0655181658445386,0.0801224673511746,0.0637721102152804,0.093653453442715,0.0450704999859302,0.0786754249850586,0.0769677625249094,0.0563818825134026,0.0619732947298743,0.0843036011309714,0.0702086292991843,0.0870982112877774,0.0676557678655286,0.0779664571831124,0.0492966977928602,0.0727177362923325,0.0739021908021792,0.0471243014074106,0.0855365292081068,0.0589843518496818,0.0818870562414971,0.0761859068321039,0.0613895349115607,0.0871168999561883,0.0422946190326206,0.0952870497113911,0.0684420707490643,0.0870191286255033,0.0845027439195805,0.0833387530680731,0.0553676801070213,0.0486044210891252,0.0882479802172343,0.0788266144725322,0.0731178809878268,0.0918329468375946
"GW3014",0.1180297331399,0.0787125386519046,0,0.0659849034116709,0.112215556412912,0.0873149808880036,0.0926697297844277,0.0957211145747249,0.0963985230814202,0.0783387167911176,0.099687593193876,0.0802724353148706,0.0713769434787207,0.072307779289431,0.102582542433633,0.0970243169112323,0.0834005140688086,0.093833602703857,0.0896072278198027,0.0826413657449597,0.0929206458849786,0.0842662521242691,0.069297936196334,0.0815979417059657,0.0652323732129406,0.0766297910349675,0.0737762171505403,0.0741844479525179,0.0812740781772406,0.0750587806137163,0.0619432047949881,0.0895362235894717,0.0808790215493638,0.0827175653356257,0.111263110936542,0.0685888356617387,0.0636768310395272,0.0775721396987772,0.0727372637343284,0.0706607199216519,0.0843899554872491,0.0893846877166827,0.0894474256088036,0.092001660140596,0.0886251482752983,0.0833794645625739,0.0942750997825097,0.0756188846327069,0.0862711204286812,0.0740771160293145,0.0712334524532785,0.0719989152696718,0.0756473077166098,0.090932608547177,0.076312215088128,0.0841159601265033,0.0834261770417199,0.0701147207899025,0.069541508446291,0.0880512309485352,0.0858285246373222,0.0935018622725076,0.101458663814701,0.0893517968877022,0.0619876419155774,0.0601186369141243,0.0637658148829634,0.0913299617058395,0.100709020766362,0.108132368653162,0.107734440492617,0.0798552371970164,0.0643395767353341,0.0592026045164549,0.0878714947347073,0.0983763959327171,0.0927609400503875,0.0827771879972275,0.0960344617535461,0.0587727953917579,0.0956712185311407,0.0760887591402764,0.0749598093786757,0.0795668180196036,0.0961821184343957,0.0594428248938748,0.0919246409755495,0.0886543420743454,0.0900166156268423,0.0691613175230012,0.0838031337973665,0.103614149392957,0.101457547213812,0.0767615457584237,0.0591939720225634,0.0915221391141425,0.0851260414000783,0.0827069016472728,0.076604084626474,0.0991043498729402,0.0659173226744774,0.0690517672784794,0.0785864305978024,0.0740853941070564,0.0702698427054686,0.0491153528397505,0.0328667934727747,0.0679986027215007,0.0721584115624754,0.100426856339569,0.0848138123858739,0.0990126362121647,0.0629723352901657,0.0602169500639749,0.0650671747993231,0.0960033276759207,0.0985835160789195,0.0735944231042618,0.101517198533626,0.0573811080724555,0.0884906668977928,0.0854913597146694,0.0694574791738825,0.0998518519182021,0.0639401548983307,0.0793585121764968,0.0852014261561707,0.0963695463019808,0.0695107134522243,0.0820881850559736,0.0716331671465884,0.068968588760256,0.0698194241127061,0.0716242740999314,0.0925329823614403,0.0769463211966305
"GW3018",0.116969066394423,0.0516650298187089,0.0659849034116709,0,0.109827585644471,0.0759589481583986,0.0847566820295261,0.08499168808057,0.0855116464823394,0.0514860414334155,0.0879814573041808,0.0619973817984584,0.0324071949294734,0.0401104222342931,0.108092815002959,0.10373701745451,0.0655615452950764,0.101740784380539,0.079078935300797,0.0462789373029662,0.0819167431897096,0.0712763047293915,0.0433444723159457,0.0727593829973389,0.0657360922721005,0.0624055418114793,0.0385537818167049,0.0668786853724083,0.0727688444193072,0.0647896618261547,0.0400335472757958,0.0848692916395775,0.0829481350043386,0.087120084452768,0.113797350976515,0.0700499641302076,0.0572728505664458,0.0676711766634176,0.0625262142187836,0.0712606866782274,0.0615756974691413,0.0603378264808666,0.0634631712212623,0.063007816033853,0.0546165199278945,0.0698134861505523,0.0569700911563834,0.066784860491079,0.0930443235733684,0.0638126240763606,0.060887336528501,0.0652974650929231,0.0810472931661901,0.0792984286734052,0.0678773205166609,0.0874616005079576,0.0592124735152135,0.0657357796980874,0.0602214241830017,0.0708224398273005,0.0559909725688933,0.0718559735898526,0.0980978133600223,0.0729666422154447,0.0476300622977824,0.0577861022627416,0.0505252322033378,0.0846213542242552,0.107600774604612,0.111370762719736,0.112451645239731,0.0639180799871491,0.0505878195555211,0.0508794467706267,0.0751849174930772,0.102732671681375,0.0965212758521242,0.0723535728898146,0.103197728374856,0.049537099450801,0.0834702651825518,0.0554875949994953,0.0292257600867645,0.0579208130725161,0.0884751836142153,0.0541367915870166,0.080358388419087,0.0936228767449838,0.0605580959628492,0.0435106915804195,0.0706916008702976,0.0996532105941873,0.0709644763940593,0.0539693460999954,0.0582926175959058,0.0808207729730321,0.0695484355806858,0.0706715304504407,0.0587853630883615,0.0794482458698066,0.0598627002584698,0.0671519078990113,0.0684806700670304,0.0653060592503145,0.037922054230292,0.0508510595977048,0.0549118680854893,0.0433562830766832,0.0315531624994324,0.0906552067393246,0.0566495666426079,0.103556993321035,0.0387902081733185,0.0621558573013964,0.042041384749822,0.0825865871966038,0.0964842700876323,0.0422515388237359,0.103388970844397,0.0492032450558511,0.0957268657365359,0.0915229105391043,0.0571515166676274,0.104599141464283,0.0308028293855777,0.0715307230317243,0.0758677527400319,0.089479348551748,0.0655450375298286,0.0539098793767575,0.0546393109331139,0.0493222723784394,0.07750528446232,0.0674883460428188,0.0931683913493328,0.0831025533868625
"GW3030",0.0212044797991182,0.0872892112455067,0.112215556412912,0.109827585644471,0,0.120095346686352,0.124999319904049,0.115099466384224,0.113017633641244,0.112655337461209,0.130295617979291,0.110866912240238,0.108960439590605,0.105757607392462,0.0519514810175823,0.05956455971797,0.0841435291858288,0.0686793227839936,0.101816965930167,0.11487585606423,0.118352095775448,0.107076326520275,0.109930570014255,0.128596322758791,0.111870042256741,0.119042395926011,0.115894581084865,0.121280714608668,0.128132105793802,0.121661894836089,0.107532833857325,0.0836126403439788,0.0656897779806955,0.0623099901870921,0.0428794642696444,0.11094854499638,0.115137619995022,0.128320171687344,0.108555068734312,0.113644363034616,0.105226880251084,0.116472364902491,0.115723396914211,0.110736326657314,0.111486673080797,0.111390562172887,0.114383619477802,0.122189316645856,0.061649108839009,0.107605394339259,0.122270659579298,0.118833806890837,0.0847391710517944,0.111694664867607,0.123227112645463,0.0668424367184773,0.119600560946529,0.099801359415929,0.118287157394676,0.108403997566899,0.11229046183538,0.11671838293272,0.0832494884428974,0.113492152820569,0.101872510861828,0.105733106967717,0.106046531107977,0.121617084411078,0.0580941709805349,0.0285832269931981,0.0324736121458346,0.0985535994585619,0.103838194385251,0.101333637540787,0.103280324763321,0.038435363271032,0.0639490539040314,0.0860036003312036,0.0623509580433764,0.109996198855459,0.118941784710859,0.102537247894174,0.110430729751743,0.109145768936003,0.121156683471961,0.101785337159638,0.118223705887028,0.0604868535066874,0.113107750664732,0.112177045830166,0.111637894225704,0.0619242051965152,0.124348490986086,0.112222155086942,0.112878236401629,0.0942979393958225,0.117261438419233,0.112412449829077,0.113298037974676,0.118504130769717,0.100694767579922,0.112328119997836,0.11328373943201,0.122005327418128,0.0997765808490968,0.113956581182053,0.113291702284849,0.10796580209909,0.11042421206522,0.117749391272982,0.119881766352241,0.0511201753309178,0.109379574869195,0.112544205522391,0.106299876234851,0.114804403474156,0.0459453130600905,0.10874113829317,0.0415762618593225,0.104180348341595,0.06427529053291,0.0667945329014186,0.104410546455967,0.0479167103732048,0.101649045822657,0.127957698205711,0.113151323962616,0.117586447497449,0.115684107054396,0.124298561822052,0.106152562412732,0.106254649070057,0.11005240772282,0.104052945661573,0.0527944760134881,0.111304751269701
"GW3047",0.122771748977224,0.0727131509620925,0.0873149808880036,0.0759589481583986,0.120095346686352,0,0.0603188270642794,0.0359683098882137,0.0361007760634318,0.0417482854693422,0.0270728464067775,0.10000350910352,0.0542560933757697,0.0501723602780113,0.117088930904548,0.113013618738308,0.0563776073594918,0.111331632088082,0.0386936459760357,0.0436303371477483,0.0345871822195698,0.0358865632103449,0.0688054852763792,0.11371075556696,0.0973005262781154,0.108167427760152,0.0998836743983211,0.106029551532381,0.113119975190304,0.106328502742642,0.0920740799255637,0.0735454199536789,0.094796903930334,0.0938028162327872,0.1166587095217,0.100726369031117,0.0890261135001582,0.110102928776221,0.0941128537721209,0.0984714894657887,0.0666522156748459,0.0927417870807355,0.0940826766952746,0.0629357113779966,0.0767788572117763,0.06078394271891,0.0817750211146838,0.107460529997303,0.102005269099145,0.0899523140127394,0.100890195689733,0.102943722360993,0.091457909432397,0.0996072380070748,0.108288328580004,0.0956491230119673,0.0753325652829037,0.097999658436235,0.101334005602269,0.097525914800953,0.0882225805337653,0.100494596694025,0.0610670163053961,0.0230531824995035,0.0659334471523329,0.0820447006722054,0.064156544823297,0.0332048672629927,0.116813050167208,0.120155641491336,0.118704389987906,0.0413502058278798,0.0654245451874401,0.0720204148267606,0.0625565550437943,0.109624767983926,0.106450807900612,0.0538465225711427,0.112905050930871,0.0749319159175721,0.0325741455741886,0.0521068742339405,0.0659705613437953,0.0342311803861685,0.0557265298843016,0.0751418279038119,0.0250468605636315,0.102368491496741,0.0306493971808974,0.0545250284312358,0.0327436233406791,0.0847973246779227,0.0828634799791141,0.0511801400224535,0.0900239354526128,0.0493345673645843,0.0325264466607715,0.0392382869924723,0.0392849134059521,0.0576654472517854,0.084825294262669,0.0950903785077878,0.0439018443890146,0.105748343246812,0.0590917807423923,0.0918605953258063,0.0900840463108069,0.0687862306787232,0.0859824822969356,0.0528201877845989,0.0690865614027508,0.11302731159469,0.0906026154308436,0.0921597274716932,0.0606240067681291,0.0652077195788925,0.102603912304551,0.0586342889387812,0.113232352897002,0.0686104071833633,0.105163698650207,0.09962742453011,0.0671823592024453,0.113337386292628,0.0741303567300244,0.111295186155203,0.077272927999681,0.0637519423857935,0.101208510522389,0.112312533209598,0.0498536458703044,0.0670490877760951,0.0973690102565244,0.099007782190313,0.107040499716532,0.0997628466171232
"GW3065",0.128477593433915,0.0877960446821561,0.0926697297844277,0.0847566820295261,0.124999319904049,0.0603188270642794,0,0.0781543769648766,0.0788718795906165,0.0700283028526952,0.0645634284693038,0.102350135465742,0.0793136155305149,0.0701495546388489,0.121943148592793,0.117593448874457,0.0797683218677982,0.115478582145234,0.0791475795082412,0.0704077089142584,0.0724104750068217,0.0742320190309773,0.0738210870344686,0.110885570906809,0.0943725894791913,0.103700837898961,0.0945997744239069,0.104213032922066,0.111465565176701,0.103716089576056,0.0890022964698679,0.0873608479443,0.0972531785610617,0.100953884368436,0.124594849948203,0.095431397068333,0.0942329999800822,0.109056423376193,0.0953084238847167,0.0981431602981805,0.0858231057970537,0.0994534212790602,0.0998187863141404,0.0852185978440355,0.0920658501792621,0.0871016033133482,0.0984741457277753,0.105601233022495,0.105787705602843,0.0950734757604895,0.102396077179477,0.101150760547526,0.0965333518154087,0.099437759392459,0.106522189201418,0.100822548147792,0.0980187196383639,0.101034042620933,0.0996540351686211,0.100048422288653,0.0960018846626366,0.104585413992264,0.0822036998948651,0.0655793188983504,0.0812151903834145,0.0842954361344039,0.0774509435983165,0.054823128243622,0.121363529005107,0.124794947236739,0.123835033464694,0.0668422510037207,0.0835628303905433,0.0821775928103899,0.0845365994634473,0.115127963706047,0.110555283539169,0.080139309116114,0.117105514836766,0.083040894985942,0.0732630658305121,0.0684211831370665,0.0826523076217181,0.0689556661561836,0.0279007942707869,0.0861788204259979,0.0683477723419632,0.107281458941071,0.0705976460830419,0.0738390652318044,0.0665674887292249,0.0995794498500915,0.0624563730486271,0.0670984088017499,0.0904988667300953,0.0736143905693438,0.0632987065442676,0.0740199200135347,0.0664434553945755,0.0840516382930809,0.0881350127862025,0.0953696742180955,0.075723212545172,0.103961590626112,0.0742655222177867,0.0952733938418145,0.0940470324873158,0.0751692693301223,0.0744260915432499,0.0592232498403745,0.0514520569584575,0.117422153098545,0.0878542335566051,0.0908465269534456,0.0754573121429601,0.089008231343765,0.108940919828091,0.0744141524953145,0.116447608423312,0.0729439201412271,0.109825772566993,0.10568809879129,0.084923156889627,0.11848615420459,0.0833299946355374,0.109500065918296,0.0785289923824129,0.0426901137747147,0.0985003594852062,0.109119606215223,0.0740110844691635,0.0790204764992344,0.0973299989852067,0.102319690895702,0.108781329330765,0.101538294762379
"GW3068",0.117975472951289,0.0771966667014679,0.0957211145747249,0.08499168808057,0.115099466384224,0.0359683098882137,0.0781543769648766,0,0.00657903439649368,0.0541651199800838,0.0262093025374963,0.0997858632381383,0.0599921714368788,0.0510633067403535,0.107422350262577,0.102828135553174,0.0599239891679858,0.100524431201812,0.0325130301886853,0.0545145751844079,0.0185868715793421,0.0328870126812475,0.0760956864562538,0.120631061974925,0.104550243952613,0.115386008326487,0.10947824018114,0.113055557406039,0.11981613489663,0.113388262058786,0.101359462248987,0.0720663966795826,0.0915048890158198,0.0881502560246315,0.112716104360199,0.107915813554794,0.0968432602707816,0.117862181417827,0.0971514997137609,0.105725435835321,0.0719426895772701,0.096894574238918,0.0993897908881406,0.0685017014371241,0.0823554348097857,0.0656690532015346,0.0873727415214095,0.114454778164746,0.0943512954270418,0.0994566059460419,0.107627206512972,0.109313718969226,0.0947136008971612,0.106016760283835,0.114802355090106,0.0919533581631515,0.0868549359193588,0.100848702417456,0.108298772396623,0.102095371589593,0.0943104732404726,0.106351409521069,0.053397626229055,0.0324914344184997,0.0687574109852163,0.0840232334687062,0.0674361407853116,0.0519436225457916,0.107687252397062,0.112986199865473,0.110678170734667,0.0452285493229837,0.0691411614276184,0.075262430112523,0.062568427901368,0.101807019304184,0.0955779995518278,0.0508280623691307,0.102347925990306,0.081603293403813,0.023705291016448,0.0580222215747208,0.0740452442915728,0.0388618022735943,0.0728491213175295,0.0763860113045687,0.0239531949226502,0.0992191710822952,0.0410024648784641,0.0609986575441521,0.04248894254411,0.0760651108820858,0.0869579142630333,0.0563373586082379,0.096897971604623,0.0497487416486884,0.0408080398129384,0.0429869854897841,0.0455721278814075,0.05116859689373,0.0926311643500605,0.103004620809385,0.0419406225253752,0.113036110528993,0.064870479556491,0.099971130370498,0.0994019731764554,0.0792778520693021,0.0926171553760127,0.0696642692996145,0.0814130046744709,0.104330361835186,0.098199781646361,0.0988624215535177,0.0674525102520188,0.071266042934276,0.0962579091672505,0.0643525551188336,0.105483204800199,0.075761274806734,0.0958204118330453,0.0927898448585615,0.07152219557808,0.104221111681715,0.0843686278074988,0.118087688764405,0.0857090063513182,0.0734952607408147,0.108396100772755,0.120807393414633,0.059690279903143,0.0797381423507942,0.0989554426329196,0.101229616510624,0.0988099097546185,0.103029129771115
"GW3074",0.116122079916114,0.075774420314413,0.0963985230814202,0.0855116464823394,0.113017633641244,0.0361007760634318,0.0788718795906165,0.00657903439649368,0,0.0551389898535066,0.0270183603380142,0.0992916996608499,0.0605553162295292,0.0507218661738221,0.106395281833192,0.101851249845176,0.0601227611550907,0.0994371963972393,0.0325601387139521,0.0550055264112717,0.0198309657836762,0.0324851709993612,0.076938019345876,0.12113663394611,0.105082389537303,0.11585898748492,0.109993978780136,0.11362399785237,0.120343663474679,0.113844945125591,0.101594736623835,0.0720842681512079,0.0912686843200528,0.0865999200358238,0.110756087728513,0.108473991550977,0.0970452055883245,0.118447832017482,0.0974935479117308,0.106171613335265,0.0718016838114967,0.096945257565425,0.0992293172363758,0.0682651162860938,0.0822431874972548,0.0653626956807818,0.0877063326315108,0.114864096735218,0.0930493232416802,0.0991475050117314,0.107989519443448,0.110041575606057,0.0948537549669108,0.106105099623248,0.11521767477026,0.0903960365878093,0.0864745958497384,0.101270275287791,0.108883222441805,0.102190156024052,0.0941686609577651,0.106036538196296,0.0521998117163959,0.0327104712533481,0.0690031377153618,0.0844555432972956,0.067977898293234,0.0523084413275697,0.106403878246188,0.111452690494124,0.109222139334236,0.0456303905489331,0.0693003200824961,0.0752578007024969,0.0612523808307782,0.100464825829788,0.0948292228266659,0.0495478323886311,0.101340507254346,0.0823803792077721,0.0231966799910072,0.0583820426329296,0.074404191415907,0.0388622925111941,0.0731826222287414,0.0766774828707915,0.0245586422857033,0.0987484021474415,0.0411108131453821,0.0609896387650276,0.0424585950170869,0.0745766438193254,0.0874547376338025,0.0565869734940875,0.0973161028855695,0.048296297687363,0.0418082687865351,0.0435336911339291,0.0457933656696024,0.0516088829138566,0.092635000132346,0.103418559156194,0.0414682457791397,0.113429358198951,0.064371457632441,0.100431784910623,0.0993407176648924,0.0794007167983937,0.0930933191786933,0.0700199846062125,0.0822050588690975,0.10300010909003,0.0985795738591926,0.0993276521823827,0.0680586175171665,0.0710521055617642,0.0946076505439538,0.0650360195187775,0.103588110426761,0.0767949065219728,0.094651534626656,0.0915203060857002,0.0713042026803082,0.103032367715215,0.0845881807330517,0.118559856873499,0.0857402357215642,0.0737063126549858,0.108973990440048,0.121456087633253,0.0592874131192234,0.0802208144912786,0.0993667671362819,0.101806985959947,0.0980242411411757,0.102973193316208
"GW3077",0.117039500403424,0.0432339683752171,0.0783387167911176,0.0514860414334155,0.112655337461209,0.0417482854693422,0.0700283028526952,0.0541651199800838,0.0551389898535066,0,0.0577593977276641,0.083740197429654,0.0354323379903632,0.0329120684087236,0.114994495202618,0.110895917289577,0.0436096084683881,0.10927687884848,0.0468400338064759,0.0304528531881729,0.0520848072726127,0.0411957251139674,0.0526119172097504,0.0976133024135669,0.0812091108284761,0.0875274949547539,0.0714889483275432,0.087556080355579,0.0974556099880703,0.0899237452928782,0.0671383703608394,0.0697072600064798,0.089285354486568,0.0906380369987572,0.114744231815042,0.0831647427087963,0.0745826539504158,0.0935092113976178,0.0779231607675394,0.0831643904041033,0.0560997138759507,0.074406890079784,0.0756249221426374,0.0545783576903875,0.0625910178245743,0.055538116859765,0.0681190182692264,0.0914483527160845,0.0983979154410606,0.0723338225585131,0.0851839864945513,0.0869898471060338,0.0839054408732554,0.0835789544103579,0.0924157943064464,0.0890672612022761,0.0569142595707744,0.0840357374672267,0.084963740877377,0.0821740957409136,0.0714880222412162,0.0840106927294418,0.0746505352615034,0.0371504461021627,0.058615818683929,0.0725809497205138,0.0554639547871262,0.0609846210670774,0.114645671993078,0.116488038185402,0.116264589355578,0.0336142107718285,0.0590530020381983,0.0649352470919026,0.0611693740046809,0.106266331079351,0.104131588305499,0.0527010675990069,0.110528881723233,0.0630760598916401,0.0489798517515319,0.0373073616924021,0.0474221971312316,0.0252924470149734,0.0693801906310495,0.0674180805306522,0.0470692979048163,0.0962612002144353,0.0354454339323165,0.0447614284977317,0.0355161950481868,0.0826060851308236,0.0738623490344942,0.0394155618786418,0.0744387132031615,0.052382916212866,0.0400642870854714,0.0406604988997824,0.0328438062198815,0.0479911816011471,0.0718420225774406,0.0790542609784952,0.0445090844943963,0.0897508006027797,0.0395177222501188,0.0747475868388971,0.0733674417341968,0.0531933573211174,0.0623596688621485,0.0676744700009503,0.0577547103212635,0.110393790364401,0.0645981357757533,0.0772001120619044,0.0472950022344413,0.0628450644198553,0.0983115352127511,0.0403192536708041,0.109381880315553,0.0567148370323557,0.103062705766618,0.09388913012195,0.0592418935443244,0.11100767524143,0.0498762057002832,0.0957418721770461,0.0684982962351766,0.0711426252745731,0.0842832231739833,0.0876678373593891,0.0426794185043435,0.0504779296894095,0.0889553112324012,0.0816356136188613,0.100583322881729,0.0929971152875026
