"","GW3005","GW3314","GW4194","GW3030","GW4193","GW4283","GW3576","GW3582","GW3014","GW3047","GW4094","GW4377","GW4229","GW5970","GW5971","GW5998","GW3217","GW5854","GW3078","GW3134","GW4340","GW4409","GW5936","GW4507","GW3074","GW5894","GW6169","GW3294","GW3257","GW3265","GW3263","GW6114","GW4299","GW5889","GW4298","GW6134","GW4433","GW3065","GW4310","GW4301","GW4285","GW4434","GW5926","GW3068","GW4305","GW6053","GW3107","GW3108","GW3018","GW3124","GW3127","GW3125","GW3123","GW3077","GW3523","GW3010","GW4431","GW3122","GW4082","GW4284","GW4286","GW4374","GW4191","GW6026","GW6016","GW6198","GW5850","GW5973","GW6197","GW5796","GW3119","GW6193","GW3387","GW3443","GW3488","GW4420","GW3236","GW3250","GW6141","GW4440","GW5831","GW4293","GW4147","GW4476","GW6018","GW4249","GW4246","GW4187","GW4339","GW3145","GW4109","GW4146","GW4253","GW6139","GW6084","GW5967","GW5871","GW3528","GW3543","GW3364","GW3487","GW3479","GW3434","GW3320","GW3234","GW3248","GW3406","GW3246","GW3390","GW3233","GW3389","GW3240","GW3232","GW3491","GW3430","GW4436","GW4439","GW5910","GW5878","GW5907","GW5888","GW3405","GW6100","GW6087","GW6202","GW3420","GW3413","GW3409","GW3407","GW3398","GW3490","GW3410","GW3574","GW5876","GW6176","GW5930","GW3496","GW6186","GW5943","GW5915","GW3415","GW3448","GW3092","GW6015"
"GW3005",0,0.008051928,0.0060146607085,0.0067007335179,0.0073554836321,0.0083904059948,0.4074282301611,0.4118515819711,0.4125470094611,0.4707307433211,0.5321999905411,0.5440244607011,0.5059152521611,0.4784484792271,0.4860079875901,0.5232504885381,0.5259385281061,0.5315566292101,0.5191977937591,0.5201433440321,0.5342090836061,0.5720649317051,0.5782472527051,0.5882714739041,0.4922963956341,0.6066065118161,0.6067434761081,0.6657622616611,0.6573330574261,0.6590207593961,0.6607770406651,0.4964673266491,0.4987149791461,0.5053366012381,0.5036228946821,0.5025858941611,0.5028051297501,0.5018302985731,0.5005085378661,0.5308673187411,0.5490820902111,0.5191781791201,0.5194402437998,0.5188151891518,0.4310445335711,0.4873938094011,0.4708649722291,0.4727704787051,0.4835201078171,0.6765797867211,0.5498600306011,0.5187165230411,0.4568165319911,0.4861380813411,0.4758855945211,0.4844760830611,0.3971375916011,0.4416789718801,0.4582232810931,0.4554111939101,0.4560351229461,0.4491282994921,0.4380984770911,0.4375490826291,0.4480137785871,0.4479196552761,0.4552004983041,0.4489006386101,0.4468260406841,0.4450027555161,0.4332455087651,0.4993394569211,0.6225661539511,0.6075300461711,0.6079994991481,0.4040488955211,0.5680626759741,0.5717238773901,0.5467774440221,0.4844330942101,0.5157332250291,0.5142902961831,0.5116172977391,0.5167974485991,0.5817942798021,0.5917394646551,0.5887298643301,0.5844392102401,0.5868482504321,0.5940125801591,0.5900840173551,0.5869153262341,0.5832429103331,0.5221829392401,0.5216501427821,0.5205153585701,0.5207281765901,0.5303494685071,0.5249921807321,0.5247249212571,0.5280382600141,0.5267681157751,0.5273060969041,0.5300799210671,0.5318494675171,0.5366584450711,0.5335090836681,0.5333307024121,0.5434802306681,0.5414266767931,0.5592948160061,0.5386502922671,0.5359999907141,0.5262530802701,0.5247392110241,0.4945315006531,0.4510833687111,0.6804199402511,0.5709983968411,0.5546150432511,0.5562899029471,0.5652402478531,0.5744119259192,0.5862520658642,0.5759026354282,0.5722596149402,0.5700494001712,0.5671781130982,0.5684723770262,0.5660994690362,0.5637587097021,0.5651001977781,0.5600633064291,0.5574143789701,0.6198507174811,0.7251088661611,0.6231951949211,0.6134133776111,0.6489459218611,0.6503240136011,0.7576081015011,0.7135791624011,0.6977143620211,0.6823103584511
"GW3314",0.008051928,0,0.0074585501625,0.0081446229719,0.0087993730861,0.0098342954488,0.4088721196151,0.4132954714251,0.4139908989151,0.4721746327751,0.5336438799951,0.5454683501551,0.5073591416151,0.4798923686811,0.4874518770441,0.5246943779921,0.5273824175601,0.5330005186641,0.5206416832131,0.5215872334861,0.5356529730601,0.5735088211591,0.5796911421591,0.5897153633581,0.4937402850881,0.6080504012701,0.6081873655621,0.6672061511151,0.6587769468801,0.6604646488501,0.6622209301191,0.4979112161031,0.5001588686001,0.5067804906921,0.5050667841361,0.5040297836151,0.5042490192041,0.5032741880271,0.5019524273201,0.5323112081951,0.5505259796651,0.5206220685741,0.5208841332538,0.5202590786058,0.4324884230251,0.4888376988551,0.4723088616831,0.4742143681591,0.4849639972711,0.6780236761751,0.5513039200551,0.5201604124951,0.4582604214451,0.4875819707951,0.4773294839751,0.4859199725151,0.3985814810551,0.4431228613341,0.4596671705471,0.4568550833641,0.4574790124001,0.4505721889461,0.4395423665451,0.4389929720831,0.4494576680411,0.4493635447301,0.4566443877581,0.4503445280641,0.4482699301381,0.4464466449701,0.4346893982191,0.5007833463751,0.6240100434051,0.6089739356251,0.6094433886021,0.4054927849751,0.5695065654281,0.5731677668441,0.5482213334761,0.4858769836641,0.5171771144831,0.5157341856371,0.5130611871931,0.5182413380531,0.5832381692561,0.5931833541091,0.5901737537841,0.5858830996941,0.5882921398861,0.5954564696131,0.5915279068091,0.5883592156881,0.5846867997871,0.5236268286941,0.5230940322361,0.5219592480241,0.5221720660441,0.5317933579611,0.5264360701861,0.5261688107111,0.5294821494681,0.5282120052291,0.5287499863581,0.5315238105211,0.5332933569711,0.5381023345251,0.5349529731221,0.5347745918661,0.5449241201221,0.5428705662471,0.5607387054601,0.5400941817211,0.5374438801681,0.5276969697241,0.5261831004781,0.4959753901071,0.4525272581651,0.6818638297051,0.5724422862951,0.5560589327051,0.5577337924011,0.5666841373071,0.5758558153732,0.5876959553182,0.5773465248822,0.5737035043942,0.5714932896252,0.5686220025522,0.5699162664802,0.5675433584902,0.5652025991561,0.5665440872321,0.5615071958831,0.5588582684241,0.6212946069351,0.7265527556151,0.6246390843751,0.6148572670651,0.6503898113151,0.6517679030551,0.7590519909551,0.7150230518551,0.6991582514751,0.6837542479051
"GW4194",0.0060146607085,0.0074585501625,0,0.0042939443814,0.0049486944956,0.0059836168583,0.4050214410246,0.4094447928346,0.4101402203246,0.4683239541846,0.5297932014046,0.5416176715646,0.5035084630246,0.4760416900906,0.4836011984536,0.5208436994016,0.5235317389696,0.5291498400736,0.5167910046226,0.5177365548956,0.5318022944696,0.5696581425686,0.5758404635686,0.5858646847676,0.4898896064976,0.6041997226796,0.6043366869716,0.6633554725246,0.6549262682896,0.6566139702596,0.6583702515286,0.4940605375126,0.4963081900096,0.5029298121016,0.5012161055456,0.5001791050246,0.5003983406136,0.4994235094366,0.4981017487296,0.5284605296046,0.5466753010746,0.5167713899836,0.5170334546633,0.5164084000153,0.4286377444346,0.4849870202646,0.4684581830926,0.4703636895686,0.4811133186806,0.6741729975846,0.5474532414646,0.5163097339046,0.4544097428546,0.4837312922046,0.4734788053846,0.4820692939246,0.3947308024646,0.4392721827436,0.4558164919566,0.4530044047736,0.4536283338096,0.4467215103556,0.4356916879546,0.4351422934926,0.4456069894506,0.4455128661396,0.4527937091676,0.4464938494736,0.4444192515476,0.4425959663796,0.4308387196286,0.4969326677846,0.6201593648146,0.6051232570346,0.6055927100116,0.4016421063846,0.5656558868376,0.5693170882536,0.5443706548856,0.4820263050736,0.5133264358926,0.5118835070466,0.5092105086026,0.5143906594626,0.5793874906656,0.5893326755186,0.5863230751936,0.5820324211036,0.5844414612956,0.5916057910226,0.5876772282186,0.5845085370976,0.5808361211966,0.5197761501036,0.5192433536456,0.5181085694336,0.5183213874536,0.5279426793706,0.5225853915956,0.5223181321206,0.5256314708776,0.5243613266386,0.5248993077676,0.5276731319306,0.5294426783806,0.5342516559346,0.5311022945316,0.5309239132756,0.5410734415316,0.5390198876566,0.5568880268696,0.5362435031306,0.5335932015776,0.5238462911336,0.5223324218876,0.4921247115166,0.4486765795746,0.6780131511146,0.5685916077046,0.5522082541146,0.5538831138106,0.5628334587166,0.5720051367827,0.5838452767277,0.5734958462917,0.5698528258037,0.5676426110347,0.5647713239617,0.5660655878897,0.5636926798997,0.5613519205656,0.5626934086416,0.5576565172926,0.5550075898336,0.6174439283446,0.7227020770246,0.6207884057846,0.6110065884746,0.6465391327246,0.6479172244646,0.7552013123646,0.7111723732646,0.6953075728846,0.6799035693146
"GW3030",0.0067007335179,0.0081446229719,0.0042939443814,0,0.0046179365662,0.0056528589289,0.4046906830952,0.4091140349052,0.4098094623952,0.4679931962552,0.5294624434752,0.5412869136352,0.5031777050952,0.4757109321612,0.4832704405242,0.5205129414722,0.5232009810402,0.5288190821442,0.5164602466932,0.5174057969662,0.5314715365402,0.5693273846392,0.5755097056392,0.5855339268382,0.4895588485682,0.6038689647502,0.6040059290422,0.6630247145952,0.6545955103602,0.6562832123302,0.6580394935992,0.4937297795832,0.4959774320802,0.5025990541722,0.5008853476162,0.4998483470952,0.5000675826842,0.4990927515072,0.4977709908002,0.5281297716752,0.5463445431452,0.5164406320542,0.5167026967339,0.5160776420859,0.4283069865052,0.4846562623352,0.4681274251632,0.4700329316392,0.4807825607512,0.6738422396552,0.5471224835352,0.5159789759752,0.4540789849252,0.4834005342752,0.4731480474552,0.4817385359952,0.3944000445352,0.4389414248142,0.4554857340272,0.4526736468442,0.4532975758802,0.4463907524262,0.4353609300252,0.4348115355632,0.4452762315212,0.4451821082102,0.4524629512382,0.4461630915442,0.4440884936182,0.4422652084502,0.4305079616992,0.4966019098552,0.6198286068852,0.6047924991052,0.6052619520822,0.4013113484552,0.5653251289082,0.5689863303242,0.5440398969562,0.4816955471442,0.5129956779632,0.5115527491172,0.5088797506732,0.5140599015332,0.5790567327362,0.5890019175892,0.5859923172642,0.5817016631742,0.5841107033662,0.5912750330932,0.5873464702892,0.5841777791682,0.5805053632672,0.5194453921742,0.5189125957162,0.5177778115042,0.5179906295242,0.5276119214412,0.5222546336662,0.5219873741912,0.5253007129482,0.5240305687092,0.5245685498382,0.5273423740012,0.5291119204512,0.5339208980052,0.5307715366022,0.5305931553462,0.5407426836022,0.5386891297272,0.5565572689402,0.5359127452012,0.5332624436482,0.5235155332042,0.5220016639582,0.4917939535872,0.4483458216452,0.6776823931852,0.5682608497752,0.5518774961852,0.5535523558812,0.5625027007872,0.5716743788533,0.5835145187983,0.5731650883623,0.5695220678743,0.5673118531053,0.5644405660323,0.5657348299603,0.5633619219703,0.5610211626362,0.5623626507122,0.5573257593632,0.5546768319042,0.6171131704152,0.7223713190952,0.6204576478552,0.6106758305452,0.6462083747952,0.6475864665352,0.7548705544352,0.7108416153352,0.6949768149552,0.6795728113852
"GW4193",0.0073554836321,0.0087993730861,0.0049486944956,0.0046179365662,0,0.0051417308287,0.404179554995,0.408602906805,0.409298334295,0.467482068155,0.528951315375,0.540775785535,0.502666576995,0.475199804061,0.482759312424,0.520001813372,0.52268985294,0.528307954044,0.515949118593,0.516894668866,0.53096040844,0.568816256539,0.574998577539,0.585022798738,0.489047720468,0.60335783665,0.603494800942,0.662513586495,0.65408438226,0.65577208423,0.657528365499,0.493218651483,0.49546630398,0.502087926072,0.500374219516,0.499337218995,0.499556454584,0.498581623407,0.4972598627,0.527618643575,0.545833415045,0.515929503954,0.5161915686337,0.5155665139857,0.427795858405,0.484145134235,0.467616297063,0.469521803539,0.480271432651,0.673331111555,0.546611355435,0.515467847875,0.453567856825,0.482889406175,0.472636919355,0.481227407895,0.393888916435,0.438430296714,0.454974605927,0.452162518744,0.45278644778,0.445879624326,0.434849801925,0.434300407463,0.444765103421,0.44467098011,0.451951823138,0.445651963444,0.443577365518,0.44175408035,0.429996833599,0.496090781755,0.619317478785,0.604281371005,0.604750823982,0.400800220355,0.564814000808,0.568475202224,0.543528768856,0.481184419044,0.512484549863,0.511041621017,0.508368622573,0.513548773433,0.578545604636,0.588490789489,0.585481189164,0.581190535074,0.583599575266,0.590763904993,0.586835342189,0.583666651068,0.579994235167,0.518934264074,0.518401467616,0.517266683404,0.517479501424,0.527100793341,0.521743505566,0.521476246091,0.524789584848,0.523519440609,0.524057421738,0.526831245901,0.528600792351,0.533409769905,0.530260408502,0.530082027246,0.540231555502,0.538178001627,0.55604614084,0.535401617101,0.532751315548,0.523004405104,0.521490535858,0.491282825487,0.447834693545,0.677171265085,0.567749721675,0.551366368085,0.553041227781,0.561991572687,0.5711632507531,0.5830033906981,0.5726539602621,0.5690109397741,0.5668007250051,0.5639294379321,0.5652237018601,0.5628507938701,0.560510034536,0.561851522612,0.556814631263,0.554165703804,0.616602042315,0.721860190995,0.619946519755,0.610164702445,0.645697246695,0.647075338435,0.754359426335,0.710330487235,0.694465686855,0.679061683285
"GW4283",0.0083904059948,0.0098342954488,0.0059836168583,0.0056528589289,0.0051417308287,0,0.4009297414337,0.4053530932437,0.4060485207337,0.4642322545937,0.5257015018137,0.5375259719737,0.4994167634337,0.4719499904997,0.4795094988627,0.5167519998107,0.5194400393787,0.5250581404827,0.5126993050317,0.5136448553047,0.5277105948787,0.5655664429777,0.5717487639777,0.5817729851767,0.4857979069067,0.6001080230887,0.6002449873807,0.6592637729337,0.6508345686987,0.6525222706687,0.6542785519377,0.4899688379217,0.4922164904187,0.4988381125107,0.4971244059547,0.4960874054337,0.4963066410227,0.4953318098457,0.4940100491387,0.5243688300137,0.5425836014837,0.5126796903927,0.5129417550724,0.5123167004244,0.4245460448437,0.4808953206737,0.4643664835017,0.4662719899777,0.4770216190897,0.6700812979937,0.5433615418737,0.5122180343137,0.4503180432637,0.4796395926137,0.4693871057937,0.4779775943337,0.3906391028737,0.4351804831527,0.4517247923657,0.4489127051827,0.4495366342187,0.4426298107647,0.4315999883637,0.4310505939017,0.4415152898597,0.4414211665487,0.4487020095767,0.4424021498827,0.4403275519567,0.4385042667887,0.4267470200377,0.4928409681937,0.6160676652237,0.6010315574437,0.6015010104207,0.3975504067937,0.5615641872467,0.5652253886627,0.5402789552947,0.4779346054827,0.5092347363017,0.5077918074557,0.5051188090117,0.5102989598717,0.5752957910747,0.5852409759277,0.5822313756027,0.5779407215127,0.5803497617047,0.5875140914317,0.5835855286277,0.5804168375067,0.5767444216057,0.5156844505127,0.5151516540547,0.5140168698427,0.5142296878627,0.5238509797797,0.5184936920047,0.5182264325297,0.5215397712867,0.5202696270477,0.5208076081767,0.5235814323397,0.5253509787897,0.5301599563437,0.5270105949407,0.5268322136847,0.5369817419407,0.5349281880657,0.5527963272787,0.5321518035397,0.5295015019867,0.5197545915427,0.5182407222967,0.4880330119257,0.4445848799837,0.6739214515237,0.5644999081137,0.5481165545237,0.5497914142197,0.5587417591257,0.5679134371918,0.5797535771368,0.5694041467008,0.5657611262128,0.5635509114438,0.5606796243708,0.5619738882988,0.5596009803088,0.5572602209747,0.5586017090507,0.5535648177017,0.5509158902427,0.6133522287537,0.7186103774337,0.6166967061937,0.6069148888837,0.6424474331337,0.6438255248737,0.7511096127737,0.7070806736737,0.6912158732937,0.6758118697237
"GW3576",0.4074282301611,0.4088721196151,0.4050214410246,0.4046906830952,0.404179554995,0.4009297414337,0,0.02481869837,0.0522632619,0.47901304136,0.54048228858,0.55230675874,0.5141975502,0.486730777266,0.494290285629,0.531532786577,0.534220826145,0.539838927249,0.527480091798,0.528425642071,0.542491381645,0.580347229744,0.586529550744,0.596553771943,0.500578693673,0.614888809855,0.615025774147,0.6740445597,0.665615355465,0.667303057435,0.669059338704,0.504749624688,0.506997277185,0.513618899277,0.511905192721,0.5108681922,0.511087427789,0.510112596612,0.508790835905,0.53914961678,0.55736438825,0.527460477159,0.5277225418387,0.5270974871907,0.43932683161,0.49567610744,0.479147270268,0.481052776744,0.491802405856,0.68486208476,0.55814232864,0.52699882108,0.46509883003,0.49442037938,0.48416789256,0.4927583811,0.40541988964,0.449961269919,0.466505579132,0.463693491949,0.464317420985,0.457410597531,0.44638077513,0.445831380668,0.456296076626,0.456201953315,0.463482796343,0.457182936649,0.455108338723,0.453285053555,0.441527806804,0.50762175496,0.63084845199,0.61581234421,0.616281797187,0.41233119356,0.576344974013,0.580006175429,0.555059742061,0.492715392249,0.524015523068,0.522572594222,0.519899595778,0.525079746638,0.590076577841,0.600021762694,0.597012162369,0.592721508279,0.595130548471,0.602294878198,0.598366315394,0.595197624273,0.591525208372,0.530465237279,0.529932440821,0.528797656609,0.529010474629,0.538631766546,0.533274478771,0.533007219296,0.536320558053,0.535050413814,0.535588394943,0.538362219106,0.540131765556,0.54494074311,0.541791381707,0.541613000451,0.551762528707,0.549708974832,0.567577114045,0.546932590306,0.544282288753,0.534535378309,0.533021509063,0.502813798692,0.45936566675,0.68870223829,0.57928069488,0.56289734129,0.564572200986,0.573522545892,0.5826942239581,0.5945343639031,0.5841849334671,0.5805419129791,0.5783316982101,0.5754604111371,0.5767546750651,0.5743817670751,0.572041007741,0.573382495817,0.568345604468,0.565696677009,0.62813301552,0.7333911642,0.63147749296,0.62169567565,0.6572282199,0.65860631164,0.76589039954,0.72186146044,0.70599666006,0.69059265649
"GW3582",0.4118515819711,0.4132954714251,0.4094447928346,0.4091140349052,0.408602906805,0.4053530932437,0.02481869837,0,0.05668661371,0.48343639317,0.54490564039,0.55673011055,0.51862090201,0.491154129076,0.498713637439,0.535956138387,0.538644177955,0.544262279059,0.531903443608,0.532848993881,0.546914733455,0.584770581554,0.590952902554,0.600977123753,0.505002045483,0.619312161665,0.619449125957,0.67846791151,0.670038707275,0.671726409245,0.673482690514,0.509172976498,0.511420628995,0.518042251087,0.516328544531,0.51529154401,0.515510779599,0.514535948422,0.513214187715,0.54357296859,0.56178774006,0.531883828969,0.5321458936487,0.5315208390007,0.44375018342,0.50009945925,0.483570622078,0.485476128554,0.496225757666,0.68928543657,0.56256568045,0.53142217289,0.46952218184,0.49884373119,0.48859124437,0.49718173291,0.40984324145,0.454384621729,0.470928930942,0.468116843759,0.468740772795,0.461833949341,0.45080412694,0.450254732478,0.460719428436,0.460625305125,0.467906148153,0.461606288459,0.459531690533,0.457708405365,0.445951158614,0.51204510677,0.6352718038,0.62023569602,0.620705148997,0.41675454537,0.580768325823,0.584429527239,0.559483093871,0.497138744059,0.528438874878,0.526995946032,0.524322947588,0.529503098448,0.594499929651,0.604445114504,0.601435514179,0.597144860089,0.599553900281,0.606718230008,0.602789667204,0.599620976083,0.595948560182,0.534888589089,0.534355792631,0.533221008419,0.533433826439,0.543055118356,0.537697830581,0.537430571106,0.540743909863,0.539473765624,0.540011746753,0.542785570916,0.544555117366,0.54936409492,0.546214733517,0.546036352261,0.556185880517,0.554132326642,0.572000465855,0.551355942116,0.548705640563,0.538958730119,0.537444860873,0.507237150502,0.46378901856,0.6931255901,0.58370404669,0.5673206931,0.568995552796,0.577945897702,0.5871175757681,0.5989577157131,0.5886082852771,0.5849652647891,0.5827550500201,0.5798837629471,0.5811780268751,0.5788051188851,0.576464359551,0.577805847627,0.572768956278,0.570120028819,0.63255636733,0.73781451601,0.63590084477,0.62611902746,0.66165157171,0.66302966345,0.77031375135,0.72628481225,0.71042001187,0.6950160083
"GW3014",0.4125470094611,0.4139908989151,0.4101402203246,0.4098094623952,0.409298334295,0.4060485207337,0.0522632619,0.05668661371,0,0.48413182066,0.54560106788,0.55742553804,0.5193163295,0.491849556566,0.499409064929,0.536651565877,0.539339605445,0.544957706549,0.532598871098,0.533544421371,0.547610160945,0.585466009044,0.591648330044,0.601672551243,0.505697472973,0.620007589155,0.620144553447,0.679163339,0.670734134765,0.672421836735,0.674178118004,0.509868403988,0.512116056485,0.518737678577,0.517023972021,0.5159869715,0.516206207089,0.515231375912,0.513909615205,0.54426839608,0.56248316755,0.532579256459,0.5328413211387,0.5322162664907,0.44444561091,0.50079488674,0.484266049568,0.486171556044,0.496921185156,0.68998086406,0.56326110794,0.53211760038,0.47021760933,0.49953915868,0.48928667186,0.4978771604,0.41053866894,0.455080049219,0.471624358432,0.468812271249,0.469436200285,0.462529376831,0.45149955443,0.450950159968,0.461414855926,0.461320732615,0.468601575643,0.462301715949,0.460227118023,0.458403832855,0.446646586104,0.51274053426,0.63596723129,0.62093112351,0.621400576487,0.41744997286,0.581463753313,0.585124954729,0.560178521361,0.497834171549,0.529134302368,0.527691373522,0.525018375078,0.530198525938,0.595195357141,0.605140541994,0.602130941669,0.597840287579,0.600249327771,0.607413657498,0.603485094694,0.600316403573,0.596643987672,0.535584016579,0.535051220121,0.533916435909,0.534129253929,0.543750545846,0.538393258071,0.538125998596,0.541439337353,0.540169193114,0.540707174243,0.543480998406,0.545250544856,0.55005952241,0.546910161007,0.546731779751,0.556881308007,0.554827754132,0.572695893345,0.552051369606,0.549401068053,0.539654157609,0.538140288363,0.507932577992,0.46448444605,0.69382101759,0.58439947418,0.56801612059,0.569690980286,0.578641325192,0.5878130032581,0.5996531432031,0.5893037127671,0.5856606922791,0.5834504775101,0.5805791904371,0.5818734543651,0.5795005463751,0.577159787041,0.578501275117,0.573464383768,0.570815456309,0.63325179482,0.7385099435,0.63659627226,0.62681445495,0.6623469992,0.66372509094,0.77100917884,0.72698023974,0.71111543936,0.69571143579
"GW3047",0.4707307433211,0.4721746327751,0.4683239541846,0.4679931962552,0.467482068155,0.4642322545937,0.47901304136,0.48343639317,0.48413182066,0,0.09745521728,0.10927968744,0.3368466627,0.309379889766,0.316939398129,0.354181899077,0.356869938645,0.362488039749,0.350129204298,0.351074754571,0.365140494145,0.402996342244,0.409178663244,0.419202884443,0.323227806173,0.437537922355,0.437674886647,0.4966936722,0.488264467965,0.489952169935,0.491708451204,0.327398737188,0.329646389685,0.336268011777,0.334554305221,0.3335173047,0.333736540289,0.332761709112,0.331439948405,0.36179872928,0.38001350075,0.350109589659,0.3503716543387,0.3497465996907,0.36165580371,0.41800507954,0.401476242368,0.403381748844,0.414131377956,0.60719105686,0.48047130074,0.44932779318,0.38742780213,0.41674935148,0.40649686466,0.4150873532,0.38104195842,0.425583338699,0.442127647912,0.439315560729,0.439939489765,0.433032666311,0.42200284391,0.421453449448,0.431918145406,0.431824022095,0.439104865123,0.432805005429,0.430730407503,0.428907122335,0.417149875584,0.48324382374,0.60647052077,0.59143441299,0.591903865967,0.38795326234,0.551967042793,0.555628244209,0.530681810841,0.468337461029,0.499637591848,0.498194663002,0.495521664558,0.500701815418,0.565698646621,0.575643831474,0.572634231149,0.568343577059,0.570752617251,0.577916946978,0.573988384174,0.570819693053,0.567147277152,0.506087306059,0.505554509601,0.504419725389,0.504632543409,0.514253835326,0.508896547551,0.508629288076,0.511942626833,0.510672482594,0.511210463723,0.513984287886,0.515753834336,0.52056281189,0.517413450487,0.517235069231,0.527384597487,0.525331043612,0.543199182825,0.522554659086,0.519904357533,0.510157447089,0.508643577843,0.478435867472,0.43498773553,0.66432430707,0.55490276366,0.53851941007,0.540194269766,0.549144614672,0.5583162927381,0.5701564326831,0.5598070022471,0.5561639817591,0.5539537669901,0.5510824799171,0.5523767438451,0.5500038358551,0.547663076521,0.549004564597,0.543967673248,0.541318745789,0.6037550843,0.70901323298,0.60709956174,0.59731774443,0.63285028868,0.63422838042,0.74151246832,0.69748352922,0.68161872884,0.66621472527
