"","GW3005","GW3010","GW3014","GW3018","GW3030","GW3047","GW3065","GW3068","GW3074","GW3077","GW3078","GW3092","GW3107","GW3108","GW3119","GW3122","GW3123","GW3124","GW3125","GW3127","GW3134","GW3145","GW3217","GW3232","GW3233","GW3234","GW3236","GW3240","GW3246","GW3248","GW3250","GW3257","GW3265","GW3294","GW3314","GW3320","GW3364","GW3387","GW3389","GW3390","GW3405","GW3406","GW3407","GW3409","GW3410","GW3413","GW3415","GW3420","GW3430","GW3443","GW3448","GW3479","GW3487","GW3488","GW3490","GW3491","GW3496","GW3523","GW3528","GW3543","GW3574","GW3576","GW3582","GW4082","GW4094","GW4109","GW4146","GW4147","GW4187","GW4191","GW4193","GW4194","GW4229","GW4246","GW4249","GW4253","GW4283","GW4284","GW4285","GW4286","GW4293","GW4298","GW4299","GW4301","GW4305","GW4310","GW4339","GW4340","GW4374","GW4377","GW4409","GW4420","GW4431","GW4433","GW4434","GW4436","GW4439","GW4440","GW4476","GW4507","GW5796","GW5831","GW5850","GW5854","GW5871","GW5876","GW5878","GW5888","GW5889","GW5894","GW5907","GW5910","GW5915","GW5926","GW5930","GW5936","GW5943","GW5967","GW5970","GW5973","GW5998","GW6015","GW6016","GW6018","GW6026","GW6053","GW6084","GW6114","GW6134","GW6139","GW6141","GW6169","GW6176","GW6186","GW6193","GW6197","GW6202"
"GW3005",0,0.4844760830611,0.4125470094611,0.4835201078171,0.0067007335179,0.4707307433211,0.5018302985731,0.5188151891518,0.4922963956341,0.4861380813411,0.5191977937591,0.6977143620211,0.4708649722291,0.4727704787051,0.4332455087651,0.4416789718801,0.4568165319911,0.6765797867211,0.5187165230411,0.5498600306011,0.5201433440321,0.5940125801591,0.5259385281061,0.5359999907141,0.5414266767931,0.5318494675171,0.5680626759741,0.5386502922671,0.5333307024121,0.5366584450711,0.5717238773901,0.6573330574261,0.6590207593961,0.6657622616611,0.008051928,0.5300799210671,0.5247249212571,0.6225661539511,0.5592948160061,0.5434802306681,0.5652402478531,0.5335090836681,0.5684723770262,0.5671781130982,0.5651001977781,0.5700494001712,0.7576081015011,0.5722596149402,0.5247392110241,0.6075300461711,0.7135791624011,0.5267681157751,0.5280382600141,0.6079994991481,0.5637587097021,0.5262530802701,0.6231951949211,0.4758855945211,0.5303494685071,0.5249921807321,0.5600633064291,0.4074282301611,0.4118515819711,0.4582232810931,0.5321999905411,0.5900840173551,0.5869153262341,0.5116172977391,0.5844392102401,0.4380984770911,0.0073554836321,0.0060146607085,0.5059152521611,0.5887298643301,0.5917394646551,0.5832429103331,0.0083904059948,0.4554111939101,0.5490820902111,0.4560351229461,0.5142902961831,0.5036228946821,0.4987149791461,0.5308673187411,0.4310445335711,0.5005085378661,0.5868482504321,0.5342090836061,0.4491282994921,0.5440244607011,0.5720649317051,0.4040488955211,0.3971375916011,0.5028051297501,0.5191781791201,0.4945315006531,0.4510833687111,0.4844330942101,0.5167974485991,0.5882714739041,0.4450027555161,0.5157332250291,0.4552004983041,0.5315566292101,0.5207281765901,0.5574143789701,0.5709983968411,0.5562899029471,0.5053366012381,0.6066065118161,0.5546150432511,0.6804199402511,0.6503240136011,0.5194402437998,0.7251088661611,0.5782472527051,0.6489459218611,0.5205153585701,0.4784484792271,0.4489006386101,0.5232504885381,0.6823103584511,0.4480137785871,0.5817942798021,0.4375490826291,0.4873938094011,0.5216501427821,0.4964673266491,0.5025858941611,0.5221829392401,0.5467774440221,0.6067434761081,0.6198507174811,0.6134133776111,0.4993394569211,0.4468260406841,0.5759026354282
"GW3010",0.4844760830611,0,0.4978771604,0.360997012556,0.4817385359952,0.4150873532,0.446186908452,0.4631717990307,0.436653005513,0.07687899606,0.463554403638,0.69536406858,0.348341876968,0.350247383444,0.430895215324,0.439328678439,0.08475701073,0.46308122016,0.30521795648,0.33636146404,0.464499953911,0.591662286718,0.470295137985,0.533649697273,0.539076383352,0.529499174076,0.565712382533,0.536299998826,0.530980408971,0.53430815163,0.569373583949,0.601689667305,0.603377369275,0.61011887154,0.4859199725151,0.527729627626,0.522374627816,0.62021586051,0.556944522565,0.541129937227,0.562889954412,0.531158790227,0.5661220835851,0.5648278196571,0.562749904337,0.5676991067301,0.75525780806,0.5699093214991,0.522388917583,0.60517975273,0.71122886896,0.524417822334,0.525687966573,0.605649205707,0.561408416261,0.523902786829,0.62084490148,0.02960717954,0.527999175066,0.522641887291,0.557713012988,0.4927583811,0.49718173291,0.455872987652,0.47655660042,0.587733723914,0.584565032793,0.509267004298,0.582088916799,0.43574818365,0.481227407895,0.4820692939246,0.45027186204,0.586379570889,0.589389171214,0.580892616892,0.4779775943337,0.453060900469,0.49343870009,0.453684829505,0.511940002742,0.447979504561,0.443071589025,0.47522392862,0.30852143831,0.444865147745,0.584497956991,0.478565693485,0.446778006051,0.48838107058,0.516421541584,0.40169860208,0.39478729816,0.447161739629,0.463534788999,0.492181207212,0.44873307527,0.482082800769,0.514447155158,0.532628083783,0.442652462075,0.513382931588,0.452850204863,0.475913239089,0.518377883149,0.555064085529,0.5686481034,0.553939609506,0.449693211117,0.550963121695,0.55226474981,0.67806964681,0.64797372016,0.4637968536787,0.72275857272,0.522603862584,0.64659562842,0.518165065129,0.422805089106,0.446550345169,0.467607098417,0.67996006501,0.445663485146,0.579443986361,0.435198789188,0.36487071414,0.519299849341,0.440823936528,0.44694250404,0.519832645799,0.544427150581,0.551100085987,0.61750042404,0.61106308417,0.49698916348,0.444475747243,0.5735523419871
"GW3014",0.4125470094611,0.4978771604,0,0.496921185156,0.4098094623952,0.48413182066,0.515231375912,0.5322162664907,0.505697472973,0.49953915868,0.532598871098,0.71111543936,0.484266049568,0.486171556044,0.446646586104,0.455080049219,0.47021760933,0.68998086406,0.53211760038,0.56326110794,0.533544421371,0.607413657498,0.539339605445,0.549401068053,0.554827754132,0.545250544856,0.581463753313,0.552051369606,0.546731779751,0.55005952241,0.585124954729,0.670734134765,0.672421836735,0.679163339,0.4139908989151,0.543480998406,0.538125998596,0.63596723129,0.572695893345,0.556881308007,0.578641325192,0.546910161007,0.5818734543651,0.5805791904371,0.578501275117,0.5834504775101,0.77100917884,0.5856606922791,0.538140288363,0.62093112351,0.72698023974,0.540169193114,0.541439337353,0.621400576487,0.577159787041,0.539654157609,0.63659627226,0.48928667186,0.543750545846,0.538393258071,0.573464383768,0.0522632619,0.05668661371,0.471624358432,0.54560106788,0.603485094694,0.600316403573,0.525018375078,0.597840287579,0.45149955443,0.409298334295,0.4101402203246,0.5193163295,0.602130941669,0.605140541994,0.596643987672,0.4060485207337,0.468812271249,0.56248316755,0.469436200285,0.527691373522,0.517023972021,0.512116056485,0.54426839608,0.44444561091,0.513909615205,0.600249327771,0.547610160945,0.462529376831,0.55742553804,0.585466009044,0.41744997286,0.41053866894,0.516206207089,0.532579256459,0.507932577992,0.46448444605,0.497834171549,0.530198525938,0.601672551243,0.458403832855,0.529134302368,0.468601575643,0.544957706549,0.534129253929,0.570815456309,0.58439947418,0.569690980286,0.518737678577,0.620007589155,0.56801612059,0.69382101759,0.66372509094,0.5328413211387,0.7385099435,0.591648330044,0.6623469992,0.533916435909,0.491849556566,0.462301715949,0.536651565877,0.69571143579,0.461414855926,0.595195357141,0.450950159968,0.50079488674,0.535051220121,0.509868403988,0.5159869715,0.535584016579,0.560178521361,0.620144553447,0.63325179482,0.62681445495,0.51274053426,0.460227118023,0.5893037127671
"GW3018",0.4835201078171,0.360997012556,0.496921185156,0,0.4807825607512,0.414131377956,0.445230933208,0.4622158237867,0.435697030269,0.362659010836,0.462598428394,0.694408093336,0.024673695834,0.018774292908,0.42993924008,0.438372703195,0.333337461486,0.553100716216,0.395237452536,0.426380960096,0.463543978667,0.590706311474,0.469339162741,0.532693722029,0.538120408108,0.528543198832,0.564756407289,0.535344023582,0.530024433727,0.533352176386,0.568417608705,0.600733692061,0.602421394031,0.609162896296,0.4849639972711,0.526773652382,0.521418652572,0.619259885266,0.555988547321,0.540173961983,0.561933979168,0.530202814983,0.5651661083411,0.5638718444131,0.561793929093,0.5667431314861,0.754301832816,0.5689533462551,0.521432942339,0.604223777486,0.710272893716,0.52346184709,0.524731991329,0.604693230463,0.560452441017,0.522946811585,0.619888926236,0.352406524016,0.527043199822,0.521685912047,0.556757037744,0.491802405856,0.496225757666,0.454917012408,0.475600625176,0.58677774867,0.583609057549,0.508311029054,0.581132941555,0.434792208406,0.480271432651,0.4811133186806,0.449315886796,0.585423595645,0.58843319597,0.579936641648,0.4770216190897,0.452104925225,0.492482724846,0.452728854261,0.510984027498,0.447023529317,0.442115613781,0.474267953376,0.087086063866,0.443909172501,0.583541981747,0.477609718241,0.445822030807,0.487425095336,0.51546556634,0.400742626836,0.393831322916,0.446205764385,0.462578813755,0.491225231968,0.447777100026,0.481126825525,0.513491179914,0.531672108539,0.441696486831,0.512426956344,0.451894229619,0.474957263845,0.517421907905,0.554108110285,0.567692128156,0.552983634262,0.448737235873,0.550007146451,0.551308774566,0.677113671566,0.647017744916,0.4628408784347,0.721802597476,0.52164788734,0.645639653176,0.517209089885,0.421849113862,0.445594369925,0.466651123173,0.679004089766,0.444707509902,0.578488011117,0.434242813944,0.052831084436,0.518343874097,0.439867961284,0.445986528796,0.518876670555,0.543471175337,0.550144110743,0.616544448796,0.610107108926,0.496033188236,0.443519771999,0.5725963667431
"GW3030",0.0067007335179,0.4817385359952,0.4098094623952,0.4807825607512,0,0.4679931962552,0.4990927515072,0.5160776420859,0.4895588485682,0.4834005342752,0.5164602466932,0.6949768149552,0.4681274251632,0.4700329316392,0.4305079616992,0.4389414248142,0.4540789849252,0.6738422396552,0.5159789759752,0.5471224835352,0.5174057969662,0.5912750330932,0.5232009810402,0.5332624436482,0.5386891297272,0.5291119204512,0.5653251289082,0.5359127452012,0.5305931553462,0.5339208980052,0.5689863303242,0.6545955103602,0.6562832123302,0.6630247145952,0.0081446229719,0.5273423740012,0.5219873741912,0.6198286068852,0.5565572689402,0.5407426836022,0.5625027007872,0.5307715366022,0.5657348299603,0.5644405660323,0.5623626507122,0.5673118531053,0.7548705544352,0.5695220678743,0.5220016639582,0.6047924991052,0.7108416153352,0.5240305687092,0.5253007129482,0.6052619520822,0.5610211626362,0.5235155332042,0.6204576478552,0.4731480474552,0.5276119214412,0.5222546336662,0.5573257593632,0.4046906830952,0.4091140349052,0.4554857340272,0.5294624434752,0.5873464702892,0.5841777791682,0.5088797506732,0.5817016631742,0.4353609300252,0.0046179365662,0.0042939443814,0.5031777050952,0.5859923172642,0.5890019175892,0.5805053632672,0.0056528589289,0.4526736468442,0.5463445431452,0.4532975758802,0.5115527491172,0.5008853476162,0.4959774320802,0.5281297716752,0.4283069865052,0.4977709908002,0.5841107033662,0.5314715365402,0.4463907524262,0.5412869136352,0.5693273846392,0.4013113484552,0.3944000445352,0.5000675826842,0.5164406320542,0.4917939535872,0.4483458216452,0.4816955471442,0.5140599015332,0.5855339268382,0.4422652084502,0.5129956779632,0.4524629512382,0.5288190821442,0.5179906295242,0.5546768319042,0.5682608497752,0.5535523558812,0.5025990541722,0.6038689647502,0.5518774961852,0.6776823931852,0.6475864665352,0.5167026967339,0.7223713190952,0.5755097056392,0.6462083747952,0.5177778115042,0.4757109321612,0.4461630915442,0.5205129414722,0.6795728113852,0.4452762315212,0.5790567327362,0.4348115355632,0.4846562623352,0.5189125957162,0.4937297795832,0.4998483470952,0.5194453921742,0.5440398969562,0.6040059290422,0.6171131704152,0.6106758305452,0.4966019098552,0.4440884936182,0.5731650883623
"GW3047",0.4707307433211,0.4150873532,0.48413182066,0.414131377956,0.4679931962552,0,0.332761709112,0.3497465996907,0.323227806173,0.41674935148,0.350129204298,0.68161872884,0.401476242368,0.403381748844,0.417149875584,0.425583338699,0.38742780213,0.60719105686,0.44932779318,0.48047130074,0.351074754571,0.577916946978,0.356869938645,0.519904357533,0.525331043612,0.515753834336,0.551967042793,0.522554659086,0.517235069231,0.52056281189,0.555628244209,0.488264467965,0.489952169935,0.4966936722,0.4721746327751,0.513984287886,0.508629288076,0.60647052077,0.543199182825,0.527384597487,0.549144614672,0.517413450487,0.5523767438451,0.5510824799171,0.549004564597,0.5539537669901,0.74151246832,0.5561639817591,0.508643577843,0.59143441299,0.69748352922,0.510672482594,0.511942626833,0.591903865967,0.547663076521,0.510157447089,0.60709956174,0.40649686466,0.514253835326,0.508896547551,0.543967673248,0.47901304136,0.48343639317,0.442127647912,0.09745521728,0.573988384174,0.570819693053,0.495521664558,0.568343577059,0.42200284391,0.467482068155,0.4683239541846,0.3368466627,0.572634231149,0.575643831474,0.567147277152,0.4642322545937,0.439315560729,0.38001350075,0.439939489765,0.498194663002,0.334554305221,0.329646389685,0.36179872928,0.36165580371,0.331439948405,0.570752617251,0.365140494145,0.433032666311,0.10927968744,0.402996342244,0.38795326234,0.38104195842,0.333736540289,0.350109589659,0.478435867472,0.43498773553,0.468337461029,0.500701815418,0.419202884443,0.428907122335,0.499637591848,0.439104865123,0.362488039749,0.504632543409,0.541318745789,0.55490276366,0.540194269766,0.336268011777,0.437537922355,0.53851941007,0.66432430707,0.63422838042,0.3503716543387,0.70901323298,0.409178663244,0.63285028868,0.504419725389,0.309379889766,0.432805005429,0.354181899077,0.66621472527,0.431918145406,0.565698646621,0.421453449448,0.41800507954,0.505554509601,0.327398737188,0.3335173047,0.506087306059,0.530681810841,0.437674886647,0.6037550843,0.59731774443,0.48324382374,0.430730407503,0.5598070022471
"GW3065",0.5018302985731,0.446186908452,0.515231375912,0.445230933208,0.4990927515072,0.332761709112,0,0.1289826822427,0.231265536765,0.447848906732,0.25816693489,0.712718284092,0.43257579762,0.434481304096,0.448249430836,0.456682893951,0.418527357382,0.638290612112,0.480427348432,0.511570855992,0.259112485163,0.60901650223,0.264907669237,0.551003912785,0.556430598864,0.546853389588,0.583066598045,0.553654214338,0.548334624483,0.551662367142,0.586727799461,0.396302198557,0.397989900527,0.404731402792,0.5032741880271,0.545083843138,0.539728843328,0.637570076022,0.574298738077,0.558484152739,0.580244169924,0.548513005739,0.5834762990971,0.5821820351691,0.580104119849,0.5850533222421,0.772612023572,0.5872635370111,0.539743133095,0.622533968242,0.728583084472,0.541772037846,0.543042182085,0.623003421219,0.578762631773,0.541257002341,0.638199116992,0.437596419912,0.545353390578,0.539996102803,0.5750672285,0.510112596612,0.514535948422,0.473227203164,0.394230956332,0.605087939426,0.601919248305,0.52662121981,0.599443132311,0.453102399162,0.498581623407,0.4994235094366,0.244884393292,0.603733786401,0.606743386726,0.598246832404,0.4953318098457,0.470415115981,0.159249583302,0.471039045017,0.529294218254,0.086902012973,0.081994097437,0.141034811832,0.392755358962,0.011436731493,0.601852172503,0.273178224737,0.464132221563,0.406055426492,0.311034072836,0.419052817592,0.412141513672,0.028645234361,0.129345672211,0.509535422724,0.466087290782,0.499437016281,0.53180137067,0.327240615035,0.460006677587,0.5307371471,0.470204420375,0.270525770341,0.535732098661,0.572418301041,0.586002318912,0.571293825018,0.088615719529,0.345575652947,0.569618965322,0.695423862322,0.665327935672,0.1296077368907,0.740112788232,0.317216393836,0.663949843932,0.535519280641,0.217417620358,0.463904560681,0.262219629669,0.697314280522,0.463017700658,0.596798201873,0.4525530047,0.449104634792,0.536654064853,0.07974644494,0.028425998772,0.537186861311,0.561781366093,0.345712617239,0.634854639552,0.628417299682,0.514343378992,0.461829962755,0.5909065574991
"GW3068",0.5188151891518,0.4631717990307,0.5322162664907,0.4622158237867,0.5160776420859,0.3497465996907,0.1289826822427,0,0.2482504273437,0.4648337973107,0.2751518254687,0.7297031746707,0.4495606881987,0.4514661946747,0.4652343214147,0.4736677845297,0.4355122479607,0.6552755026907,0.4974122390107,0.5285557465707,0.2760973757417,0.6260013928087,0.2818925598157,0.5679888033637,0.5734154894427,0.5638382801667,0.6000514886237,0.5706391049167,0.5653195150617,0.5686472577207,0.6037126900397,0.4132870891357,0.4149747911057,0.4217162933707,0.5202590786058,0.5620687337167,0.5567137339067,0.6545549666007,0.5912836286557,0.5754690433177,0.5972290605027,0.5654978963177,0.6004611896758,0.5991669257478,0.5970890104277,0.6020382128208,0.7895969141507,0.6042484275898,0.5567280236737,0.6395188588207,0.7455679750507,0.5587569284247,0.5600270726637,0.6399883117977,0.5957475223517,0.5582418929197,0.6551840075707,0.4545813104907,0.5623382811567,0.5569809933817,0.5920521190787,0.5270974871907,0.5315208390007,0.4902120937427,0.4112158469107,0.6220728300047,0.6189041388837,0.5436061103887,0.6164280228897,0.4700872897407,0.5155665139857,0.5164084000153,0.2618692838707,0.6207186769797,0.6237282773047,0.6152317229827,0.5123167004244,0.4874000065597,0.1494248825607,0.4880239355957,0.5462791088327,0.1307752783517,0.1258673628157,0.1312101110907,0.4097402495407,0.1276609215357,0.6188370630817,0.2901631153157,0.4811171121417,0.4230403170707,0.3280189634147,0.4360377081707,0.4291264042507,0.1299575134197,0.0107941725697,0.5265203133027,0.4830721813607,0.5164219068597,0.5487862612487,0.3442255056137,0.4769915681657,0.5477220376787,0.4871893109537,0.2875106609197,0.5527169892397,0.5894031916197,0.6029872094907,0.5882787155967,0.1324889849077,0.3625605435257,0.5866038559007,0.7124087529007,0.6823128262507,0.009457047036,0.7570976788107,0.3342012844147,0.6809347345107,0.5525041712197,0.2344025109367,0.4808894512597,0.2792045202477,0.7142991711007,0.4800025912367,0.6137830924517,0.4695378952787,0.4660895253707,0.5536389554317,0.1236197103187,0.1297382778307,0.5541717518897,0.5787662566717,0.3626975078177,0.6518395301307,0.6454021902607,0.5313282695707,0.4788148533337,0.6078914480778
"GW3074",0.4922963956341,0.436653005513,0.505697472973,0.435697030269,0.4895588485682,0.323227806173,0.231265536765,0.2482504273437,0,0.438315003793,0.052912897325,0.703184381153,0.423041894681,0.424947401157,0.438715527897,0.447148991012,0.408993454443,0.628756709173,0.470893445493,0.502036953053,0.053858447598,0.599482599291,0.059653631672,0.541470009846,0.546896695925,0.537319486649,0.573532695106,0.544120311399,0.538800721544,0.542128464203,0.577193896522,0.350667185458,0.352354887428,0.359096389693,0.4937402850881,0.535549940199,0.530194940389,0.628036173083,0.564764835138,0.5489502498,0.570710266985,0.5389791028,0.5739423961581,0.5726481322301,0.57057021691,0.5755194193031,0.763078120633,0.5777296340721,0.530209230156,0.613000065303,0.719049181533,0.532238134907,0.533508279146,0.61346951828,0.569228728834,0.531723099402,0.628665214053,0.428062516973,0.535819487639,0.530462199864,0.565533325561,0.500578693673,0.505002045483,0.463693300225,0.384697053393,0.595554036487,0.592385345366,0.517087316871,0.589909229372,0.443568496223,0.489047720468,0.4898896064976,0.085997723113,0.594199883462,0.597209483787,0.588712929465,0.4857979069067,0.460881213042,0.278517328403,0.461505142078,0.519760315315,0.233058132874,0.228150217338,0.260302556933,0.383221456023,0.229943776058,0.592318269564,0.067924187172,0.454598318624,0.396521523553,0.105780035271,0.409518914653,0.402607610733,0.232240367942,0.248613417312,0.500001519785,0.456553387843,0.489903113342,0.522267467731,0.12198657747,0.450472774648,0.521203244161,0.460670517436,0.065271732776,0.526198195722,0.562884398102,0.576468415973,0.561759922079,0.23477183943,0.299940639848,0.560085062383,0.685889959383,0.655794032733,0.2488754819917,0.730578885293,0.111962356271,0.654415940993,0.525985377702,0.042930347467,0.454370657742,0.056965592104,0.687780377583,0.453483797719,0.587264298934,0.443019101761,0.439570731853,0.527120161914,0.225902564841,0.232021132353,0.527652958372,0.552247463154,0.30007760414,0.625320736613,0.618883396743,0.504809476053,0.452296059816,0.5813726545601
"GW3077",0.4861380813411,0.07687899606,0.49953915868,0.362659010836,0.4834005342752,0.41674935148,0.447848906732,0.4648337973107,0.438315003793,0,0.465216401918,0.69702606686,0.350003875248,0.351909381724,0.432557213604,0.440990676719,0.08641900901,0.46474321844,0.30687995476,0.33802346232,0.466161952191,0.593324284998,0.471957136265,0.535311695553,0.540738381632,0.531161172356,0.567374380813,0.537961997106,0.532642407251,0.53597014991,0.571035582229,0.603351665585,0.605039367555,0.61178086982,0.4875819707951,0.529391625906,0.524036626096,0.62187785879,0.558606520845,0.542791935507,0.564551952692,0.532820788507,0.5677840818651,0.5664898179371,0.564411902617,0.5693611050101,0.75691980634,0.5715713197791,0.524050915863,0.60684175101,0.71289086724,0.526079820614,0.527349964853,0.607311203987,0.563070414541,0.525564785109,0.62250689976,0.06828850752,0.529661173346,0.524303885571,0.559375011268,0.49442037938,0.49884373119,0.457534985932,0.4782185987,0.589395722194,0.586227031073,0.510929002578,0.583750915079,0.43741018193,0.482889406175,0.4837312922046,0.45193386032,0.588041569169,0.591051169494,0.582554615172,0.4796395926137,0.454722898749,0.49510069837,0.455346827785,0.513602001022,0.449641502841,0.444733587305,0.4768859269,0.31018343659,0.446527146025,0.586159955271,0.480227691765,0.448440004331,0.49004306886,0.518083539864,0.40336060036,0.39644929644,0.448823737909,0.465196787279,0.493843205492,0.45039507355,0.483744799049,0.516109153438,0.534290082063,0.444314460355,0.515044929868,0.454512203143,0.477575237369,0.520039881429,0.556726083809,0.57031010168,0.555601607786,0.451355209397,0.552625119975,0.55392674809,0.67973164509,0.64963571844,0.4654588519587,0.724420571,0.524265860864,0.6482576267,0.519827063409,0.424467087386,0.448212343449,0.469269096697,0.68162206329,0.447325483426,0.581105984641,0.436860787468,0.36653271242,0.520961847621,0.442485934808,0.44860450232,0.521494644079,0.546089148861,0.552762084267,0.61916242232,0.61272508245,0.49865116176,0.446137745523,0.5752143402671
